int32 0,int32 1,int32 2
1701060,-1,-1
1701061,911,631000
1701080,-1,-1
1701081,903,220049
1702030,-1,-1
1702031,912,631005
1730040,-1,-1
1730041,114,220352
1801040,-1,-1
1801041,922,631002
1801050,-1,-1
1801051,922,631002
1802080,-1,-1
1802081,306,631001
1802100,-1,-1
1802101,306,631001
1804060,-1,-1
1804061,104,631003
1804070,-1,-1
1804071,104,631003
1810010,-1,-1
1810011,-1,220024
1810020,-1,-1
1810021,-1,220026
1810030,-1,-1
1810031,-1,220024
1810050,-1,-1
1810051,-1,220026
1811030,-1,-1
1811031,911,220150
1811040,-1,-1
1811041,911,220153
1813010,-1,-1
1813011,906,631006
1813020,-1,-1
1813021,906,631006
1813030,-1,-1
1813031,906,631006
1814010,-1,-1
1814011,-1,220033
1850010,-1,-1
1850011,990,220351
1850012,993,220351
1850060,-1,-1
1850061,990,220351
1850062,993,220351
1850063,995,220351
