string3 0,string3 1
"chr357_d340_021_c06","d340_021_c06"
"chr357_d340_021_c09","d340_021_c09"
"chr357_d340_021_c13","d340_021_c13"
"chr357_d340_023_c11","d340_023_c11"
"chr358_d340_021_c02","d340_021_c02"
"chr358_d340_021_c05","d340_021_c05"
"chr358_d340_021_c07","d340_021_c07"
"chr358_d340_021_c11","d340_021_c11"
"chr358_d340_021_c15","d340_021_c15"
"chr358_d340_023_c05","d340_023_c05"
"chr358_d340_023_c06","d340_023_c06"
"chr358_d340_023_c13","d340_023_c13"
"chr358_d340_023_c14","d340_023_c14"
"chr358_d340_023_c17","d340_023_c17"
"chr418_d340_021_c02","d340_021_c02"
"chr418_d340_021_c05","d340_021_c05"
"chr418_d340_021_c11","d340_021_c11"
"chr418_d340_021_c15","d340_021_c15"
"chr418_d340_023_c05","d340_023_c05"
"chr418_d340_023_c06","d340_023_c06"
"chr418_d340_023_c13","d340_023_c13"
"chr418_d340_023_c15","d340_023_c15"
"chr418_d340_023_c17","d340_023_c17"
"chr432_d340_021_c02","d340_021_c02"
"chr432_d340_021_c05","d340_021_c05"
"chr432_d340_021_c07","d340_021_c07"
"chr432_d340_021_c11","d340_021_c11"
"chr432_d340_023_c05","d340_023_c05"
"chr432_d340_023_c14","d340_023_c14"
"chr432_d340_023_c17","d340_023_c17"
"chr449_d340_021_c02","d340_021_c02"
"chr449_d340_021_c03","d340_021_c03"
"chr449_d340_021_c04","d340_021_c04"
"chr449_d340_021_c07","d340_021_c07"
"chr449_d340_021_c10","d340_021_c10"
"chr449_d340_021_c15","d340_021_c15"
"chr468_d340_021_c02","d340_021_c02"
"chr468_d340_021_c05","d340_021_c05"
"chr468_d340_021_c11","d340_021_c11"
"chr468_d340_023_c05","d340_023_c05"
"chr468_d340_023_c15","d340_023_c15"
"chr468_d340_023_c17","d340_023_c17"
