string2 0,string 1,string 2,string 3
"omex_001_0_char_OMEGAMON-X","","Since I can predict the future, I have no blind spots in battle.",""
"omex_001_1_replay","char_PLAYER_M","You never, ever lose?",""
"omex_001_1_reaction_char_OMEGAMON-X","","I cannot. That is who I am.
When push comes to shove, I will wipe everything out.",""
"omex_001_2_replay","char_PLAYER_M","How do you predict the future?",""
"omex_001_2_reaction_char_OMEGAMON-X","","With the ultimate power, Omni inForce.
It allows me to read the future in an instant.",""
"omex_001_3_replay","char_PLAYER_M","I want that power.",""
"omex_001_3_reaction_char_OMEGAMON-X","","Omni inForce is mine, and mine alone.
It is not something a human could ever wield.",""
"omex_001_4_replay","char_PLAYER_M","I won't let you predict my future.",""
"omex_001_4_reaction_char_OMEGAMON-X","","I may not be able to read humans, but neither am I
charged with facing them in battle.",""
"dukex_001_0_char_DUKEMON_X","","Would you be so kind as to think of a word
or words that properly describe me?",""
"dukex_001_1_replay","char_PLAYER_M","Supreme.",""
"dukex_001_1_reaction_char_DUKEMON_X","","Suitable for one such as I, clad in sacred hybrid armor,
impervious to any threat.",""
"dukex_001_2_replay","char_PLAYER_M","Loyalty.",""
"dukex_001_2_reaction_char_DUKEMON_X","","It is a great honor to be associated with
a term so near to the tenets of chivalry.",""
"dukex_001_3_replay","char_PLAYER_M","A Holy Knight.",""
"dukex_001_3_reaction_char_DUKEMON_X","","A tad on the nose, but... bearing holy power
is a weighty task that I must see through.",""
"dukex_001_4_replay","char_PLAYER_M","A guardian deity.",""
"dukex_001_4_reaction_char_DUKEMON_X","","Being called such once more reminds me
of the great duty I bear. My battle continues!",""
"mugx_001_0_char_MAGNAMON_X","","I must train this body of mine to perfection.",""
"mugx_001_1_replay","char_PLAYER_M","Don't you think you've done enough?",""
"mugx_001_1_reaction_char_MAGNAMON_X","","My armor gets stronger as I train it, turning into
Gold Digizoid. I must do even more!",""
"mugx_001_2_replay","char_PLAYER_M","Is that stuff... flesh?",""
"mugx_001_2_reaction_char_MAGNAMON_X","","My Chrondigizoid grows and atrophies as I do.
It makes sense to call it flesh, no?",""
"mugx_001_3_replay","char_PLAYER_M","Let's train together!",""
"mugx_001_3_reaction_char_MAGNAMON_X","","My training may differ from a human's, but I am
happy to train with a like-minded spirit.",""
"mugx_001_4_replay","char_PLAYER_M","I'm rooting for you!",""
"mugx_001_4_reaction_char_MAGNAMON_X","","It goes without saying, but thank you.
Your words are the greatest encouragement.",""
"alfox_001_0_char_ULFORCEVDRAMON_X","","Nothing can damage me.",""
"alfox_001_1_replay","char_PLAYER_M","You're really sure of yourself, huh?",""
"alfox_001_1_reaction_char_ULFORCEVDRAMON_X","","I now possess both godlike speed and wondrous
healing abilities. I have no weaknesses.",""
"alfox_001_2_replay","char_PLAYER_M","You must get injured sometimes, though, right?",""
"alfox_001_2_reaction_char_ULFORCEVDRAMON_X","","Never. My supreme power, Ulforce,
instantly heals me of all harm.",""
"alfox_001_3_replay","char_PLAYER_M","Yeah, I know.",""
"alfox_001_3_reaction_char_ULFORCEVDRAMON_X","","Then you must also know you need not worry
on my account. Entrust me with any task.",""
"alfox_001_4_replay","char_PLAYER_M","Somehow that worries me...",""
"alfox_001_4_reaction_char_ULFORCEVDRAMON_X","","I am fully equipped to handle any peril.
I promise that you need not worry.",""
"jiesx_001_0_char_JESMON_X","","Since my armor's covered in blades,
give me a nickname that suits me!",""
"jiesx_001_1_replay","char_PLAYER_M","Omni-Attacker!",""
"jiesx_001_1_reaction_char_JESMON_X","","A moniker reflecting my imperviousness!
I shall unleash an assault worthy of the name.",""
"jiesx_001_2_replay","char_PLAYER_M","Full-Body Weapon!",""
"jiesx_001_2_reaction_char_JESMON_X","","Right on the money! And remember that
the swords I have equipped attack on their own.",""
"jiesx_001_3_replay","char_PLAYER_M","Iron-Fist Judgment!",""
"jiesx_001_3_reaction_char_JESMON_X","","My special move, is it not?
Still, the term does seem to embody me perfectly.",""
"jiesx_001_4_replay","char_PLAYER_M","Autonomous Blades!",""
"jiesx_001_4_reaction_char_JESMON_X","","Splendidly easy to understand.
I shall ensure that my attacks do the moniker justice.",""
