string2 0,string 1
"180106","Nakazawa Gourmet Coffee"
"180108","Seibu-Shinjuku: Overbridge Intersection"
"180203","Akihabara: A Certain Back Alley"
"183004","Elevator Hall"
"190104","Heat Cosmic: Whiteflame Area"
"190105","Heat Cosmic: Throne Room"
"190208","Central Tower: Steel Periphery"
"190210","Central Tower: Steel Point"
"190406","Gear Forest: Sanctuary"
"190407","Gear Forest: Deep Woods"
"191001","Forgotten Rails"
"191002","Collapsed Digital Space"
"191003","Forgotten Rails"
"191005","Giant Pit"
"191103","Shinjuku Underground Reservoir"
"191104","Shinjuku Underground Waterway: Depths"
"191301","Special Forces Underground Base: Research Division"
"191302","Special Forces Underground Base: Restricted Area"
"191303","Special Forces Underground Base: Laboratory"
"191401","Tokyo Metropolitan Government Building: Entrance"
"195001","White Room"
"195006","Upside-Down Room"
