string2 0,string 1
"530010","Take the elevator in the In-Between Theater and enter the door on the right."
"530020","Investigate the space."
"530030","Search for the other Digimon with Omnimon (X Antibody)."
"530035","Head to the next location."
"530040","Look for the other X Antibody Digimon."
"530050","Follow the X Antibody Digimon."
"530060","Open the digital-looking door."
"530070","Open the wooden door."
"530080","Proceed through the collapsed digital space."
"530090","Leave the collapsed digital space."
"530100","Investigate the Research Division."
"530110","Leave the Research Division."
"530120","Follow Dr. Kuga."
"530130","Follow Dr. Kuga."
"530140","Follow Dr. Kuga."
"530150","Make Alphamon your ally."
"530160","Make Jesmon (X Antibody) your ally."
"530170","Make Gallantmon (X Antibody) your ally."
"530180","Make UlforceVeedramon (X Antibody) your ally."
"530190","Make Magnamon (X Antibody) your ally."
"530200","Defeat Parallelmon."
