chr_id,empty_001,unk_string2_002,unk_string2_003,unk_string2_004,unk_float_005,empty_006,empty_007,unk_float_008,unk_float_009,npc_collision,unk_float_011,unk_float_012,unk_float_013,unk_float_014,unk_float_015,unk_float_016,unk_float_017,unk_float_018,unk_float_019,unk_float_020,unk_float_021,unk_float_022,unk_float_023,unk_float_024,unk_float_025,unk_float_026,unk_string2_027,unk_string2_028,unk_string2_029,unk_string2_030,unk_string2_031,unk_string2_032,unk_float_033,unk_float_034,unk_float_035,unk_float_036,unk_int32_037,digimon_distance_from_agent,agent_distance_2,agent_distance,unk_float_041,unk_float_042,camera_distance_skill,unk_float_044,unk_float_045,unk_float_046,shield_size,empty_048,empty_049,empty_050,unk_float_051,unk_string2_052,unk_float_053,unk_float_054,unk_float_055,battle_scale,unk_float_057,menu_scale,field_scale,unk_float_060,unk_float_061,unk_float_062,unk_float_063,unk_int32_064,unk_int32_065,unk_int32_066,unk_int8_067,unk_int8_068,unk_int8_069,unk_int8_070,rideable,empty_072,unk_int32_073,unk_int32_074,unk_int8_075,unk_int8_076,unk_int8_077,unk_int8_078,unk_string2_079,unk_int32_080,unk_int32_081
"chr143",,"","","",1,,,0.3,1.8,0.6,1.7,0.6,1.7,0.3,1.8,0.6,1.7,0.6,1.7,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",8.1,1.6,-1,0.56,1,1,0,-1,1,1.2,1.8,0,0,0,0.25,,,,0.25,"CP01",0,0.2,0,0.5,2,1,1,1,1,1,1,23,18,310001,14,-1,-1,-1,0,,0,1,1,0,2,0,"CP01",0,0
"chr175",,"","","",1,,,0.3,1.8,1.7,4.4,1.7,3,0.3,1.8,1.7,3,1.139,2.948,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.3,1.44,-1,0.36,1,2.2,1.5,-1,1,1,3.5,0,0,0,0.91,,,,0.91,"CP01",0,0.2,0,1.3,1.8,0.67,0.8,1,1,1,1,23,18,310003,17,-1,-1,-1,2,,0,1,0,0,1,2,"CP01",0,0
"chr182",,"","","",1,,,0.3,1.8,1.8,4.6,1.8,3,0.3,1.8,1.8,3,1.44,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.76,-1,0.44,1,3,0,-1,1.4,2,1.8,0,0,0,0.42,,,,0.36,"CP01",0,0.2,0,1,2.2,0.8,1,1,1,1,1,23,18,310003,18,-1,-1,-1,1,,0,1,0,0,1,2,"CP01",0,0
"chr327",,"","","",1,,,0.3,1.8,1.8,4.8,1.8,3,0.3,1.8,1.8,3,1.026,2.736,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.3,1.52,-1,0.4,1,3,0.5,200,1.3,2.5,3,0,0,0,0.72,,,,0.72,"CP01",0,0.2,0,1.2,1.9,0.57,0.65,1,1,1,1,19,18,310016,0,-1,-1,-1,2,,0,1,0,0,1,2,"CP01",0,0
"chr712",,"","","",1,,,0.3,1.8,1.2,3.15,1.2,3,0.3,1.8,1.2,3,0.876,2.2995,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.3,1.44,-1,0.44,1,2.3,0,-1,1.6,2.6,4.1,0,0,0,0.615,,,,0.615,"CP01",0,0.2,0,0.75,1.8,0.73,0.8,1,1,1,1,22,18,310010,13,-1,-1,-1,2,,0,1,1,0,2,0,"CP01",0,0
"chr713",,"","","",1,,,0.3,1.8,0.56,1.28,0.56,1.28,0.3,1.8,0.56,1.28,0.56,1.28,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",8.1,1.6,-1,0.56,1,1.3,0,-1,0.8,1,1.2,0,0,0,0.25,,,,0.25,"CP01",0,0.2,0,0.8,2,1,1,1,1,1,1,17,18,310001,10,-1,-1,-1,0,,0,1,0,1,2,0,"CP01",0,0
"chr714",,"","","",1,,,0.3,1.8,1.71,3.51,1.71,3,0.3,1.8,1.71,3,1.539,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.2,1.904,-1,0.48,1,2.3,0,-1,1.1,2.3,2,0,0,0,0.36,,,,0.36,"CP01",0,0.2,0,0.9,2,0.9,1,1,1,1,1,12,18,310016,0,-1,-1,-1,2,,0,1,0,1,2,0,"CP01",0,0
"chr715",,"","","",1,,,0.3,1.8,1.4,3.8,1.4,3,0.3,1.8,1.4,3,1.26,3,0.5,-1,-1,-1,0.5,-1,5,"fe02","","","","","",7.3,1.36,-1,0.48,1,1.7,0,-1,0.9,1.3,2.2,0,0,0,0.44,,,,0.44,"CP01",0,0.2,0,1,1.7,0.9,0.9,1,1,1,1,13,18,310016,0,-1,-1,-1,2,,0,1,0,1,2,0,"CP01",0,0
"pc001g",,"","","",1,,,0.3,1.8,0.25,1.5,0.25,1.5,0.3,1.8,1,1.5,1,1.5,0.35,1.9,-1,-1,1.5,3,5,"e003","e003","","","","",7.5,0.496,-1,0.64,0,1,0,180,0.5,0.7,1.5,0,0.5,0.5,0.34,,,,0.25,"head",0,0.1,0,1,1,1,1,1,1,1,1,15,18,0,0,-1,-1,-1,0,,0,1,0,0,0,0,"head",1,1
"pc001h",,"","","",1,,,0.3,1.8,0.25,1.5,0.25,1.5,0.3,1.8,1,1.5,1,1.5,0.35,1.9,-1,-1,1.5,3,5,"e003","e003","","","","",7.5,0.496,-1,0.64,0,1,0,180,0.5,0.7,1.5,0,0.5,0.5,0.34,,,,0.25,"head",0,0.1,0,1,1,1,1,1,1,1,1,15,18,0,0,-1,-1,-1,0,,0,1,0,0,0,0,"head",1,1
"pc002g",,"","","",1,,,0.3,1.8,0.25,1.5,0.25,1.5,0.3,1.8,1,1.5,1,1.5,0.35,1.9,-1,-1,1.5,3,5,"e003","e003","","","","",7.5,0.496,-1,0.64,0,1,0,180,0.5,0.7,1.5,0,0.5,0.5,0.34,,,,0.25,"head",0,0.1,0,1,1,1,1,1,1,1,1,15,18,0,0,-1,-1,-1,0,,0,1,0,0,0,0,"head",1,1
