int32 0,float 1
0,0
1,25
2,10
3,10
4,0.4
9,8
10,120
11,300
12,150
5,6
6,5
7,30
8,22
13,20
14,1
15,1
16,90
17,15
18,7.5
19,2
20,82
21,1.666
22,13
23,6
24,4
25,160
26,5
27,30
28,13
29,6
30,4
31,180
32,5
33,0
34,5
35,7
36,12
37,0
38,0
39,6
40,10
41,10
42,10
43,35
44,90
62,2
47,0.4
45,20
46,4
48,0.1
49,2
50,-1
51,30
52,4
53,1
54,0.5
55,20
56,20
57,4
58,100
60,0.5
59,150
61,150
65,16
63,3
64,4
66,0.8
67,0.8
68,25
69,60
70,5
71,12
72,0.1
73,0.1
74,0.7
75,0.3
76,0.3
77,0.6
78,2
79,2
80,89
81,20
82,0.4
83,0.3
84,0.5
85,0.7
86,0
87,5
88,2.5
89,0.75
90,0.3
91,1.06
92,0.5
93,1
94,0.3
95,0.5
96,7
97,0.3
98,2
99,0
100,0.5
101,0.3
102,1.2
103,3
104,10
105,0.5
106,0.8
107,0.8
108,0.8
109,3
110,10
111,1
112,0.2
113,7
114,0.8
115,0.8
116,0.8
117,10
118,10
119,0
120,1
121,7
122,0.8
123,0.8
124,0.8
125,10
126,10
127,0
128,1
