string2 0,empty 1,empty 2,empty 3,string2 4,bool 5,bool 6,bool 7,bool 8,bool 9,bool 10,bool 11,bool 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,empty 19,int32 20,int32 21,string2 22,string2 23,string2 24,string2 25,string2 26,string2 27
"aigio_001",,,,"char_AEGIOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"blimp_001",,,,"char_BLIMPMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aigiou_001",,,,"char_AEGIOCHUSMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aigiob_001",,,,"char_AEGIOCHUSMON_BLUE",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aigiog_001",,,,"char_AEGIOCHUSMON_GREEN",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aigiod_001",,,,"char_AEGIOCHUSMON_DARK",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aigioh_001",,,,"char_AEGIOCHUSMON_HOLLY",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"Seire_001",,,,"char_SIRENMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"loco_001",,,,"char_LOCOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"yupi_001",,,,"char_JUPITERMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"yupira_001",,,,"char_JUPITERMON_WRATHMODE",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mars_001",,,,"char_MARSMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mel_001",,,,"char_MERCURYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"nep_001",,,,"char_NEPTUNEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mine_001",,,,"char_MINERVAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"meruv_001",,,,"char_MERVAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"apollo_001",,,,"char_APOLLOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"diana_001",,,,"char_DIANAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"vulca_001",,,,"char_VULCANUSMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"venus_001",,,,"char_VENUSMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"bacc_001",,,,"char_BACCHUSMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"yuno_001",,,,"char_JUNOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"yunoh_001",,,,"char_JUNOMON_HYSTERICMODE",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"cere_001",,,,"char_CERESMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"cerem_001",,,,"char_CERESMON_MEDIUM",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pluto_001",,,,"char_PLUTOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"zplu_001",,,,"char_UNDEADPLUTOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gnov_001",,,,"char_GRACENOVAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gloco_001",,,,"char_GROUNDLOCOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"omega_001",,,,"char_OMEGAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gob_001",,,,"char_GOBURIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"oga_001",,,,"char_ORGEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"fuga_001",,,,"char_FUGAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"hyoga_001",,,,"char_HYOUGAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gray_001",,,,"char_GREYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tita_001",,,,"char_TITAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"chro_001",,,,"char_CHRONOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"chdes_001",,,,"char_CHRONOMON_DESTROY",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"puka_001",,,,"char_PUKAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"otama_001",,,,"char_OTAMAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"syako_001",,,,"char_SHAKOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"goma_001",,,,"char_GOMAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gani_001",,,,"char_GANIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kame_001",,,,"char_KAMEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"seado_001",,,,"char_SEADRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"octa_001",,,,"char_OCTMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gawa_001",,,,"char_GAWAPPAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"hoe_001",,,,"char_WHAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"megas_001",,,,"char_MEGASEADRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"warus_001",,,,"char_WARUSEADRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"dago_001",,,,"char_DAGOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"shaw_001",,,,"char_SHAWUJINMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"metals_001",,,,"char_METALSEADRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"presi_001",,,,"char_PLESIOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mari_001",,,,"char_MARINEANGEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"jagame_001",,,,"char_JUMBOGAMEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"bab_001",,,,"char_BUBBMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pyoko_001",,,,"char_PYOCOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mochi_001",,,,"char_MOCHIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tane_001",,,,"char_TANEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"piyo_001",,,,"char_PIYOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tent_001",,,,"char_TENTOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"fanbi_001",,,,"char_FUNBEEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"flo_001",,,,"char_FLORAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mash_001",,,,"char_MUSHMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"hawk_001",,,,"char_HAWKMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mucho_001",,,,"char_MUCHOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"worm_001",,,,"char_WORMMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"lala_001",,,,"char_LALAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aquila_001",,,,"char_AQUILAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"wood_001",,,,"char_WOODMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kabute_001",,,,"char_KABUTERIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kiwi_001",,,,"char_KIWIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"geko_001",,,,"char_GEKOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"toge_001",,,,"char_TOGEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"beji_001",,,,"char_VEGIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"wasp_001",,,,"char_WASPMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"sunf_001",,,,"char_SUNFLOWMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"fly_001",,,,"char_FLYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"garuda_001",,,,"char_GARUDAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"sylphy_001",,,,"char_SILPHYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"atlaka_001",,,,"char_ATLURKABUTERIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"ete_001",,,,"char_ETEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tono_001",,,,"char_TONOSAMAGEKOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"dera_001",,,,"char_DELUMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"jure_001",,,,"char_JYUREIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"lyla_001",,,,"char_LILAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"lili_001",,,,"char_LILLYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"herac_001",,,,"char_HERCULESKABUTERIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"rose_001",,,,"char_ROSEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pino_001",,,,"char_PINOCHIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"syuri_001",,,,"char_SHURIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kuwa_001",,,,"char_KUWAGAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tyrant_001",,,,"char_TYRANTKABUTERIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"roto_001",,,,"char_LOTOSMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pal_001",,,,"char_PALMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"roseb_001",,,,"char_ROSEMON_BM",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"hag_001",,,,"char_HAGURUMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gotsu_001",,,,"char_GOTTSUMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aruma_001",,,,"char_ARMADILLOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kokuw_001",,,,"char_KOKUWAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"guard_001",,,,"char_GUARDROMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tunk_001",,,,"char_TANKMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tsuchi_001",,,,"char_TUCHIDARUMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"ankylo_001",,,,"char_ANKYLOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"clock_001",,,,"char_CLOCKMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mame_001",,,,"char_MAMEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"metma_001",,,,"char_METALMAMEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"andro_001",,,,"char_ANDROMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"hiand_001",,,,"char_HIANDROMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"muged_001",,,,"char_MUGENDRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"megag_001",,,,"char_MEGAGROWLMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"ulbra_001",,,,"char_ULTIMATEBRAKIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mera_001",,,,"char_MERAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"bota_001",,,,"char_BOTAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"puni_001",,,,"char_PUNIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"koro_001",,,,"char_KOROMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tsuno_001",,,,"char_TUNOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kote_001",,,,"char_KOTEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"bui_001",,,,"char_V-MON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gao_001",,,,"char_GAOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"falco_001",,,,"char_FALCOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gal_001",,,,"char_GARGOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gaoga_001",,,,"char_GAOGAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"parrot_001",,,,"char_PARROTMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"zudo_001",,,,"char_ZUDOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pico_001",,,,"char_PICKLEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"bear_001",,,,"char_BEARMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"shout_001",,,,"char_SHOUTMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"lena_001",,,,"char_RENAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"panja_001",,,,"char_PANJYAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"machg_001",,,,"char_MACHGAOGAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"gaji_001",,,,"char_GAZIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"beta_001",,,,"char_BETAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"giza_001",,,,"char_GIZAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tyran_001",,,,"char_TYRANNOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"aird_001",,,,"char_AIRDRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"poyo_001",,,,"char_POYOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"toko_001",,,,"char_TOKOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pata_001",,,,"char_PATAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"kuda_001",,,,"char_KUDAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pro_001",,,,"char_PLOTMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"teri_001",,,,"char_TERRIERMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"lop_001",,,,"char_LOPMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"ange_001",,,,"char_ANGEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"reppa_001",,,,"char_REPPAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"tail_001",,,,"char_TAILMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"uni_001",,,,"char_YUNIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"angew_001",,,,"char_ANGEWOMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"holyan_001",,,,"char_HOLYANGEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"knight_001",,,,"char_KNIGHTMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"chiri_001",,,,"char_TYILINMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"glade_001",,,,"char_GRADEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"claan_001",,,,"char_CLAVISANGEMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"ofa_001",,,,"char_OPHANIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"serap_001",,,,"char_SERAPHIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"pega_001",,,,"char_PEGASMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"nefe_001",,,,"char_NEFERTIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mug_001",,,,"char_MAGNAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"coro_001",,,,"char_CORONAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"luna_001",,,,"char_LUNAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"anwi_001",,,,"char_ANCIENTWISETMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"sola_001",,,,"char_SOLARMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"bird_001",,,,"char_BIRDRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"agni_001",,,,"char_AGNIMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"vuli_001",,,,"char_VRITRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"rigra_001",,,,"char_RIZEGREYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"shakko_001",,,,"char_SHAKKOUMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"shigra_001",,,,"char_SHINEGREYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"houo_001",,,,"char_HOUOUMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"megi_001",,,,"char_MEGIDRAMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"beow_001",,,,"char_BEOWOLFMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
"mumm_001",,,,"char_MUMMYMON",true,true,true,true,true,true,true,true,0,0,0,0,100,0,,0,0,"","","","","",""
