int32 0,empty 1,string2 2,string2 3,int32 4,int32 5,string2 6,float 7,float 8,float 9,float 10,float 11,float 12,int32 13,int32 14,int32 15,int32 16,int32 17
20001,,"Garden","",1,1,"s01Fobj01",4,1.5,1.5,5,0,0,1,1,1,-1,0
20002,,"Garden","",1,1,"s01Fobj02",4,1.3,1.3,5,0,0,1,1,1,-1,0
20003,,"Garden","",1,1,"s01Fobj03",5,0.9,0.9,5,0,0,1,1,1,-1,0
20004,,"Monument","",1,1,"s01Fobj04",4,2.7,2.7,5,0,0,1,1,1,-1,0
20005,,"Machine","",1,1,"s01Fobj05",4,1,1,5,0,0,1,1,1,-1,0
20006,,"Machine","",1,1,"s01Fobj06",4,1.5,1.5,5,0,0,1,1,1,-1,0
20008,,"Garden","",1,1,"s01Fobj08",4,2.7,2.7,5,0,0,1,1,1,-1,0
20011,,"Nature","",1,1,"s01Fobj11",4,1.5,1.5,5,0,0.175,1,1,1,-1,0
20012,,"Nature","",1,1,"s01Fobj12",4,1.5,1.5,5,0,0.165,1,1,1,-1,0
20013,,"Monument","",1,1,"s01Fobj13",4,1.5,1.5,5,0,0.135,1,1,1,-1,0
20100,,"Nature","",1,1,"s01Fobj100",4,1.5,1.5,5,0,0,1,1,1,-1,0
20101,,"Nature","",1,1,"s01Fobj101",4,1.5,1.5,5,0,0,1,1,1,-1,0
20102,,"Nature","",1,1,"s01Fobj102",4,1.5,1.5,5,0,0,1,1,1,-1,0
20103,,"Garden","",1,1,"s01Fobj103",4,1.5,1.5,5,0,0,1,1,1,-1,0
20104,,"Garden","",1,1,"s01Fobj104",4,1.5,1.5,5,0,0,1,1,1,-1,0
20106,,"Nature","",1,1,"s01Fobj106",4,1.5,1.5,5,0,0,1,1,1,-1,0
20107,,"Nature","",1,1,"s01Fobj107",4,1.5,1.5,5,0,0,1,1,1,-1,0
20108,,"Nature","",1,1,"s01Fobj108",4,1.5,1.5,5,0,0,1,1,1,-1,0
20109,,"Nature","",1,1,"s01Fobj109",4,1.5,1.5,5,0,0,1,1,1,-1,0
20110,,"Nature","",1,1,"s01Fobj110",4,1.5,1.5,5,0,0,1,1,1,-1,0
20111,,"Nature","",1,1,"s01Fobj111",4,1.5,1.5,5,0,0,1,1,1,-1,0
