int32 0,empty 1,int32 2,int32 3,int32 4,empty 5,string2 6,float 7,string2 8,string2 9,string2 10,int32 11,int32 12,int32 13,int32 14,int32 15,int32 16,int32 17,int32 18,int32 19,int32 20
29001,,1,0,29001,,"s01Tobj08",1.6,"s01pos00","ui_icon_item_086","bn02",30,1000,0,0,0,0,0,0,10,0
29009,,2,0,29009,,"s01Tobj08",1.6,"s01pos00","ui_icon_item_086","bn02",60,3000,0,0,0,0,0,0,20,0
29002,,3,0,29002,,"s01Tobj07",1.6,"s01pos00","ui_icon_item_086","fe02",30,0,1000,0,0,0,0,0,-10,0
29010,,4,0,29010,,"s01Tobj07",1.6,"s01pos00","ui_icon_item_086","fe02",60,0,3000,0,0,0,0,0,-20,0
29003,,5,0,29003,,"s01Tobj03",1.6,"s01pos00","ui_icon_item_086","bf01",30,0,0,300,0,0,0,0,10,-10
29004,,6,0,29004,,"s01Tobj04",1.6,"s01pos00","ui_icon_item_086","bf01",60,0,0,1000,0,0,0,0,20,-20
29005,,7,0,29005,,"s01Tobj05",1.6,"s01pos00","ui_icon_item_086","bg01",30,0,0,0,300,0,0,0,12,8
29011,,8,0,29011,,"s01Tobj05",1.6,"s01pos00","ui_icon_item_086","bg01",60,0,0,0,1000,0,0,0,25,15
29006,,9,0,29006,,"s01Tobj02",1.6,"s01pos00","ui_icon_item_086","fq01",30,0,0,0,0,300,0,0,-10,10
29012,,10,0,29012,,"s01Tobj02",1.6,"s01pos00","ui_icon_item_086","fq01",60,0,0,0,0,1000,0,0,-20,20
29007,,11,0,29007,,"s01Tobj06",1.6,"s01pos00","ui_icon_item_086","fe02",30,0,0,0,0,0,300,0,-10,-10
29013,,12,0,29013,,"s01Tobj06",1.6,"s01pos00","ui_icon_item_086","fe02",60,0,0,0,0,0,1000,0,-20,-20
29008,,13,0,29008,,"s01Tobj01",1.6,"s01pos00","ui_icon_item_086","br01",30,0,0,0,0,0,0,300,8,12
29014,,14,0,29014,,"s01Tobj01",1.6,"s01pos00","ui_icon_item_086","br01",60,0,0,0,0,0,0,1000,15,25
