string2 0,string2 1,int32 2
"Common","",0
"FirstPast","Past",0
"Past2","Past",1
"Past3","Past",2
"Past4","Past",3
"Past5","Past",4
"Past6","Past",5
"FinalPast","Past",1000
"FirstPresent","Present",0
"Present2","Present",1
"Present3","Present",2
"Present4","Present",3
"Present5","Present",4
"Present6","Present",5
"FinalPresent","Present",1000
"A2020_dbef_0","A2020_dbef",0
"A2020_dbef_10","A2020_dbef",10
"A2020_dbef_20","A2020_dbef",20
"A2020_dbef_30","A2020_dbef",30
"A2020_dbef_40","A2020_dbef",40
"A2020_dbef_50","A2020_dbef",50
"A2020_dbef_51","A2020_dbef",51
"A2020_dbef_60","A2020_dbef",60
"A2020_dbef_61","A2020_dbef",61
"A2020_dbef_70","A2020_dbef",70
"A2020_dbef_71","A2020_dbef",71
"A2020_dbef_80","A2020_dbef",80
"A2020_dbef_81","A2020_dbef",81
"A2020_dbef_82","A2020_dbef",82
"A2020_dbef_83","A2020_dbef",83
"A2020_dbef_90","A2020_dbef",90
"A2020_dbef_91","A2020_dbef",91
"A2020_dbef_100","A2020_dbef",100
"A2020_dbef_101","A2020_dbef",101
"A2020_dbef_110","A2020_dbef",110
"A2020_dbef_111","A2020_dbef",111
"A2020_dbef_119","A2020_dbef",119
"A2020_dbef_120","A2020_dbef",120
"A2020_dbef_130","A2020_dbef",130
"A2020_dbef_140","A2020_dbef",140
"A2020_dbef_141","A2020_dbef",141
"A2020_dbef_142","A2020_dbef",142
"A2020_dbef_150","A2020_dbef",150
"A2020_dbef_160","A2020_dbef",160
"A2020_dbef_170","A2020_dbef",170
"A2020_dbef_171","A2020_dbef",171
"A2020_dbef_172","A2020_dbef",172
"A2020_dbef_173","A2020_dbef",173
"A2020_dbef_180","A2020_dbef",180
"A2020_dbef_181","A2020_dbef",181
"A2020_dbef_182","A2020_dbef",182
"A2020_dbef_190","A2020_dbef",190
"A2020_dbef_199","A2020_dbef",199
"A2020_dbef_200","A2020_dbef",200
"A2020_dbef_201","A2020_dbef",201
"A2020_dbef_210","A2020_dbef",210
"A2020_dbef_220","A2020_dbef",220
"A2020_dbef_230","A2020_dbef",230
"A2020_dbef_240","A2020_dbef",240
"A2020_dbef_250","A2020_dbef",250
"A2020_dbef_260","A2020_dbef",260
"A2020_dbef_270","A2020_dbef",270
"A2020_dbef_280","A2020_dbef",280
"A2020_dbef_290","A2020_dbef",290
"A2020_dbef_300","A2020_dbef",300
"A2020_dbef_310","A2020_dbef",310
"A2020_dbef_320","A2020_dbef",320
"A2020_dbef_330","A2020_dbef",330
"A2020_dbef_340","A2020_dbef",340
"A2020_dbef_350","A2020_dbef",350
"A2020_dbef_360","A2020_dbef",360
"A2020_dbef_370","A2020_dbef",370
"A2020_dbef_380","A2020_dbef",380
"A2020_dbef_390","A2020_dbef",390
"A2020_dbef_400","A2020_dbef",400
"A2020_dbef_410","A2020_dbef",410
"A2020_dbef_420","A2020_dbef",420
"A2020_dbef_430","A2020_dbef",430
"A2020_dbef_440","A2020_dbef",440
"A2020_dbef_450","A2020_dbef",450
"A2020_dbef_460","A2020_dbef",460
"A2020_dbef_470","A2020_dbef",470
"A2020_dbef_480","A2020_dbef",480
"A2020_dbef_490","A2020_dbef",490
"A2020_dbef_10000","A2020_dbef",10000
"A2028_daft_0","A2028_daft",0
"A2028_daft_10","A2028_daft",10
"A2028_daft_20","A2028_daft",20
"A2028_daft_30","A2028_daft",30
"A2028_daft_40","A2028_daft",40
"A2028_daft_50","A2028_daft",50
"A2028_daft_60","A2028_daft",60
"A2028_daft_70","A2028_daft",70
"A2028_daft_80","A2028_daft",80
"A2028_daft_90","A2028_daft",90
"A2028_daft_100","A2028_daft",100
"A2028_daft_110","A2028_daft",110
"A2028_daft_120","A2028_daft",120
"A2028_daft_130","A2028_daft",130
"A2028_daft_140","A2028_daft",140
"A2028_daft_150","A2028_daft",150
"A2028_daft_160","A2028_daft",160
"A2028_daft_170","A2028_daft",170
"A2028_daft_180","A2028_daft",180
"A2028_daft_190","A2028_daft",190
"A2028_daft_200","A2028_daft",200
"A2028_daft_210","A2028_daft",210
"A2028_daft_220","A2028_daft",220
"A2028_daft_230","A2028_daft",230
"A2028_daft_240","A2028_daft",240
"A2028_daft_250","A2028_daft",250
"A2028_daft_260","A2028_daft",260
"A2028_daft_270","A2028_daft",270
"A2028_daft_280","A2028_daft",280
"A2028_daft_290","A2028_daft",290
"A2028_daft_300","A2028_daft",300
"A2028_daft_310","A2028_daft",310
"A2028_daft_311","A2028_daft",311
"A2028_daft_320","A2028_daft",320
"A2028_daft_330","A2028_daft",330
"A2028_daft_340","A2028_daft",340
"A2028_daft_341","A2028_daft",341
"A2028_daft_342","A2028_daft",342
"A2028_daft_350","A2028_daft",350
"A2028_daft_360","A2028_daft",360
"A2028_daft_361","A2028_daft",361
"A2028_daft_370","A2028_daft",370
"A2028_daft_380","A2028_daft",380
"A2028_daft_390","A2028_daft",390
"A2028_daft_400","A2028_daft",400
"A2028_daft_410","A2028_daft",410
"A2028_daft_419","A2028_daft",419
"A2028_daft_420","A2028_daft",420
"A2028_daft_430","A2028_daft",430
"A2028_daft_440","A2028_daft",440
"A2028_daft_450","A2028_daft",450
"A2028_daft_460","A2028_daft",460
"A2028_daft_470","A2028_daft",470
"A2028_daft_480","A2028_daft",480
"A2028_daft_490","A2028_daft",490
"A2028_daft_10000","A2028_daft",10000
"P2020_dbef_0","P2020_dbef",0
"P2020_dbef_10","P2020_dbef",10
"P2020_dbef_20","P2020_dbef",20
"P2020_dbef_30","P2020_dbef",30
"P2020_dbef_40","P2020_dbef",40
"P2020_dbef_50","P2020_dbef",50
"P2020_dbef_60","P2020_dbef",60
"P2020_dbef_70","P2020_dbef",70
"P2020_dbef_80","P2020_dbef",80
"P2020_dbef_90","P2020_dbef",90
"P2020_dbef_100","P2020_dbef",100
"P2020_dbef_110","P2020_dbef",110
"P2020_dbef_120","P2020_dbef",120
"P2020_dbef_130","P2020_dbef",130
"P2020_dbef_140","P2020_dbef",140
"P2020_dbef_150","P2020_dbef",150
"P2020_dbef_160","P2020_dbef",160
"P2020_dbef_170","P2020_dbef",170
"P2020_dbef_180","P2020_dbef",180
"P2020_dbef_190","P2020_dbef",190
"P2020_dbef_200","P2020_dbef",200
"P2020_dbef_210","P2020_dbef",210
"P2020_dbef_220","P2020_dbef",220
"P2020_dbef_230","P2020_dbef",230
"P2020_dbef_240","P2020_dbef",240
"P2020_dbef_250","P2020_dbef",250
"P2020_dbef_260","P2020_dbef",260
"P2020_dbef_270","P2020_dbef",270
"P2020_dbef_280","P2020_dbef",280
"P2020_dbef_290","P2020_dbef",290
"P2020_dbef_300","P2020_dbef",300
"P2020_dbef_310","P2020_dbef",310
"P2020_dbef_320","P2020_dbef",320
"P2020_dbef_330","P2020_dbef",330
"P2020_dbef_340","P2020_dbef",340
"P2020_dbef_350","P2020_dbef",350
"P2020_dbef_360","P2020_dbef",360
"P2020_dbef_370","P2020_dbef",370
"P2020_dbef_380","P2020_dbef",380
"P2020_dbef_390","P2020_dbef",390
"P2020_dbef_400","P2020_dbef",400
"P2020_dbef_410","P2020_dbef",410
"P2020_dbef_420","P2020_dbef",420
"P2020_dbef_430","P2020_dbef",430
"P2020_dbef_440","P2020_dbef",440
"P2020_dbef_450","P2020_dbef",450
"P2020_dbef_460","P2020_dbef",460
"P2020_dbef_470","P2020_dbef",470
"P2020_dbef_480","P2020_dbef",480
"P2020_dbef_490","P2020_dbef",490
"P2020_dbef_10000","P2020_dbef",10000
"P2028_daft_0","P2028_daft",0
"P2028_daft_10","P2028_daft",10
"P2028_daft_20","P2028_daft",20
"P2028_daft_30","P2028_daft",30
"P2028_daft_40","P2028_daft",40
"P2028_daft_50","P2028_daft",50
"P2028_daft_60","P2028_daft",60
"P2028_daft_70","P2028_daft",70
"P2028_daft_80","P2028_daft",80
"P2028_daft_90","P2028_daft",90
"P2028_daft_100","P2028_daft",100
"P2028_daft_110","P2028_daft",110
"P2028_daft_120","P2028_daft",120
"P2028_daft_130","P2028_daft",130
"P2028_daft_140","P2028_daft",140
"P2028_daft_150","P2028_daft",150
"P2028_daft_160","P2028_daft",160
"P2028_daft_170","P2028_daft",170
"P2028_daft_180","P2028_daft",180
"P2028_daft_190","P2028_daft",190
"P2028_daft_200","P2028_daft",200
"P2028_daft_210","P2028_daft",210
"P2028_daft_220","P2028_daft",220
"P2028_daft_230","P2028_daft",230
"P2028_daft_240","P2028_daft",240
"P2028_daft_250","P2028_daft",250
"P2028_daft_260","P2028_daft",260
"P2028_daft_270","P2028_daft",270
"P2028_daft_280","P2028_daft",280
"P2028_daft_290","P2028_daft",290
"P2028_daft_300","P2028_daft",300
"P2028_daft_310","P2028_daft",310
"P2028_daft_320","P2028_daft",320
"P2028_daft_330","P2028_daft",330
"P2028_daft_340","P2028_daft",340
"P2028_daft_350","P2028_daft",350
"P2028_daft_360","P2028_daft",360
"P2028_daft_361","P2028_daft",361
"P2028_daft_370","P2028_daft",370
"P2028_daft_380","P2028_daft",380
"P2028_daft_390","P2028_daft",390
"P2028_daft_400","P2028_daft",400
"P2028_daft_410","P2028_daft",410
"P2028_daft_420","P2028_daft",420
"P2028_daft_430","P2028_daft",430
"P2028_daft_440","P2028_daft",440
"P2028_daft_441","P2028_daft",441
"P2028_daft_442","P2028_daft",442
"P2028_daft_443","P2028_daft",443
"P2028_daft_444","P2028_daft",444
"P2028_daft_445","P2028_daft",445
"P2028_daft_446","P2028_daft",446
"P2028_daft_447","P2028_daft",447
"P2028_daft_450","P2028_daft",450
"P2028_daft_460","P2028_daft",460
"P2028_daft_470","P2028_daft",470
"P2028_daft_480","P2028_daft",480
"P2028_daft_490","P2028_daft",490
"P2028_daft_10000","P2028_daft",10000
"X2028_daft_0","X2028_daft",0
"X2028_daft_10","X2028_daft",10
"X2028_daft_11","X2028_daft",11
"X2028_daft_12","X2028_daft",12
"X2028_daft_20","X2028_daft",20
"X2028_daft_21","X2028_daft",21
"X2028_daft_22","X2028_daft",22
"X2028_daft_23","X2028_daft",23
"X2028_daft_30","X2028_daft",30
"X2028_daft_40","X2028_daft",40
"X2028_daft_50","X2028_daft",50
"X2028_daft_60","X2028_daft",60
"X2028_daft_70","X2028_daft",70
"X2028_daft_80","X2028_daft",80
"X2028_daft_90","X2028_daft",90
"X2028_daft_100","X2028_daft",100
"X2028_daft_110","X2028_daft",110
"X2028_daft_120","X2028_daft",120
"X2028_daft_130","X2028_daft",130
"X2028_daft_140","X2028_daft",140
"X2028_daft_150","X2028_daft",150
"X2028_daft_160","X2028_daft",160
"X2028_daft_170","X2028_daft",170
"X2028_daft_180","X2028_daft",180
"X2028_daft_190","X2028_daft",190
"X2028_daft_200","X2028_daft",200
