string2 0,string 1,string 2,string 3
"1011010001","char_PROTECTED_GIRL","{player}! Use this!",""
"1011030002","char_OPERATOR_M","I fear this Digimon is unlike any we've encountered
previously.","1011030002_M 1011030002_F"
"1011030003","char_OPERATOR_M","Our job is to keep civilians safe from anomalies. We
can't afford to make any mistakes here.","1011030003_M 1011030003_F "
"1011030004","char_OPERATOR_M","This hostile is clearly more powerful than the other Digimon...
You are hereby authorized to use {fc9Cross Arts}.","1011030004_M 1011030004_F "
"1011030005","char_OPERATOR_M","Using the Digivice as a catalyst, focus the energy of your
Digimon on a single point and release it.","1011030005_M 1011030005_F "
"1011030006","char_OPERATOR_M","How well you can align the hearts of your allies all depends
on you, yourself.","1011030006_M 1011030006_F "
"1011030007","char_OPERATOR_M","All that we do, we do to protect humanity from anomalies.
On the honor of ADAMAS, we must persevere!","1011030007_M 1011030007_F "
"1032010001","char_SIMMONS","Yes... yes... Incredible...!","1032010001"
"1032010002","char_SIMMONS","Huh... So it would seem there's more impact than previously
imagined... We're getting some excellent data...!","1032010002"
"1032010003","char_SIMMONS","Amazing...! Amazing...! This will yield some truly invaluable data!","1032010003"
"1032010004","char_SIMMONS","Good! Yes, that's it! Go on! They can take it! Show me
more. MORE, I tell you!","1032010004"
"1032010005","char_SIMMONS","Next up!","1032010005"
"1033010001","char_MINERVAMON","The head turned this way...?","1033010001"
"1033010003","char_MINERVAMON","I don't like the look of this...! Focus your attacks on their
head and knock them off balance!","1033010003"
"1033010005","char_MINERVAMON","I'm sensing a buildup of power. Watch out for a counterattack!","1033010005"
"1033010006","char_MINERVAMON","Another attack, now?! But I guess that's all just part of
how they use their abilities...","1033010006"
"1033010007","char_MINERVAMON","We'd be wise to assume the enemy will get a final move in
at the end...!","1033010007"
"1033010009","char_MINERVAMON","There's always an opening right before a big move. A hard
hit where their power's focused should disrupt the attack!","1033010009"
"1033010010","char_MINERVAMON","Greymon, huh? I know their weak point!","1033010010"
"1033010011","char_MINERVAMON","And now... take this!","1033010011"
"1033010012","char_MINERVAMON","I'll make an opening for you! I'll set them up, and you knock
them down!","1033010012"
