string2 0,string 1,string 2,string 3
"f_d0101_0010_0010","char_SOCERIMON","They've been at odds for some time now, so they won't let
each other's messengers get through.",""
"f_d0101_0010_0020","char_SOCERIMON","If you insist on going, though, I won't stop you...",""
"f_d0101_0010_0030","char_SOCERIMON","But, at the very least, I'd say you should speak to Lord
Apollomon first. It at least still has ears to listen...",""
"f_d0101_0020_0010","char_WIZARDMON","Quarrels are such a nuisance... As a result, the residents
have to evacuate.",""
"f_d0101_0020_0020","char_WIZARDMON","As the rulers of an area, one would think the two of them
would be a little more mindful of their station.",""
"f_d0101_0030_0010","char_PUMPMON","Anyway... getting to see them isn't gonna be easy.","f_d0101_0030_0010"
"f_d0101_0030_0020","char_PUMPMON","They're both mad as can be... just like little kids having a spat.","f_d0101_0030_0020"
"f_d0101_0030_0030","char_PUMPMON","Lady Dianamon has locked down her area completely, so
let's go see Lord Apollomon first!","f_d0101_0030_0030"
"f_d0101_0030_0040","char_PUMPMON","Lord Apollomon'll probably have some advice on how we can
get some face time with Lady Dianamon, anyhow!","f_d0101_0030_0040"
"f_d0101_0030_0050","char_PUMPMON","Now that our plan is settled, let's ask those two to help us get
to Lord Apollomon!","f_d0101_0030_0050"
"f_d0101_0040_0010","char_SOCERIMON","You again... What is it this time?!",""
"f_d0101_0040_0030","char_PUMPMON","Please calm yourselves, my good Digimon! The thing is...
th-this here is, uh... m-my assistant! Yeah!",""
"f_d0101_0040_0040","char_SOCERIMON","What? Your assistant...?",""
"f_d0101_0040_0050","char_PUMPMON","Yeah. I'm doing some work for Lord Apollomon...",""
"f_d0101_0040_0060","char_PUMPMON","...and my assistant here is, uh, assisting!",""
"f_d0101_0040_0070","char_SOCERIMON","So you're saying... you intend to go see Lord Apollomon?",""
"f_d0101_0040_0080","char_PUMPMON","That's right! Which means... we'll just follow the usual
procedure, if you don't mind?",""
"f_d0101_0040_0090","char_WIZARDMON","Very well. Hey, ""assistant,"" press this switch.",""
"f_d0101_0050_0010","char_WIZARDMON","Do you see? There are two sides to this area. By pressing
this switch, you can change which side you can visit.",""
"f_d0101_0050_0020","char_WIZARDMON","If you're Pumpkinmon's assistant, we'll make an exception
regarding the switch's use. You may press it as needed.",""
"f_d0101_0050_0040","char_PUMPMON","Thank you kindly! All right, assistant! We're off to see
Lord Apollomon!",""
"f_d0101_0060_0010","char_WIZARDMON","H-Hey! Lord Apollomon just stormed off to see Lady
Dianamon in a mighty fury!",""
"f_d0101_0060_0020","char_SOCERIMON","What happened?! Explain at once!",""
"f_d0101_0060_0030","char_PUMPMON","No time for that! Right now, all we can do is get to Lady
Dianamon, and fast!",""
"f_d0101_0070_0010","char_WIZARDMON","If you're Pumpkinmon's assistant, we'll make an exception
regarding the switch's use.",""
"f_d0101_0070_0020","char_WIZARDMON","You may press it as needed.",""
"f_d0101_0080_0010","char_SOCERIMON","We don't trust you.",""
"f_d0101_0080_0020","char_SOCERIMON","Thus, you may not use the switch without Pumpkinmon
being present.",""
"f_d0101_0090_0010","char_WIZARDMON","H-Hey! Lord Apollomon just stormed off to see Lady
Dianamon!",""
"f_d0101_0090_0020","char_WIZARDMON","He looked furious! What have you done?!",""
"f_d0101_0090_0030","char_WIZARDMON","Could it be...? Might we see their solar and lunar powers
form an eclipse, and cause GraceNovamon to appear...?",""
"f_d0101_0090_0040","char_WIZARDMON","But if things go wrong, it could possibly wipe this whole
place out with a Big Bang!",""
"f_d0101_0100_0010","char_SOCERIMON","What happened?! Explain at once!",""
"f_d0101_0100_0020","char_SOCERIMON","Are you sure about this?! Just what have you done?!",""
"f_d0101_0100_0030","char_SOCERIMON","Listen. Don't do anything that will unnecessarily
inflame Lord Apollomon and Lady Dianamon!",""
"f_d0101_0100_0040","char_SOCERIMON","The power of a Big Bang would be tremendous.
There would be nothing left here... including all of us. ",""
"f_d0101_0110_0010","char_WIZARDMON","Lord Apollomon and Lady Dianamon have made peace...?",""
