string2 0,string 1,string 2,string 3
"dlc000_010_010","char_MIREI","A new tale about the truth of the world lies within.
Go on in if you're interested.",""
"dlc000_020_010","char_BUTLER","Beyond this door lies a world askew... I do not think you
are quite ready for it yet.",""
"dlc000_020_020","char_NONAME","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?",""
"dlc000_020_030","char_NONAME","Note: If you have already purchased the additional episode,
please relaunch the game.",""
"dlc000_020_040","char_BUTLER","",""
"dlc000_020_050","char_BUTLER","",""
"dlc000_020_060","char_NONAME","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.",""
"dlc000_020_061","char_NONAME","{end}[Don't open the store.]",""
"dlc000_030_010","char_BUTLER","Beyond this door lies a world askew... I do not think you
are quite ready for it yet.",""
"dlc000_030_020","char_NONAME","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?",""
"dlc000_030_030","char_NONAME","Note: If you have already purchased the additional episode,
please relaunch the game.",""
"dlc000_030_040","char_BUTLER","",""
"dlc000_030_050","char_BUTLER","",""
"dlc000_030_060","char_NONAME","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.",""
"dlc000_030_061","char_NONAME","{end}[Don't open the store.]",""
"dlc000_040_010","char_BUTLER","Beyond this door lies a world askew... I do not think you
are quite ready for it yet.",""
"dlc000_040_020","char_NONAME","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?",""
"dlc000_040_030","char_NONAME","Note: If you have already purchased the additional episode,
please relaunch the game.",""
"dlc000_040_040","char_BUTLER","",""
"dlc000_040_050","char_BUTLER","",""
"dlc000_040_060","char_NONAME","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.",""
"dlc000_040_061","char_NONAME","{end}[Don't open the store.]",""
"dlc000_050_010","char_BUTLER","Beyond this point lies a world askew... Best of luck with
your investigation.",""
"dlc000_050_020","char_BUTLER","",""
"dlc000_050_030","char_BUTLER","",""
"dlc000_050_040","char_BUTLER","Enter Akashic Backdoor I?",""
"dlc000_050_050","char_NONAME","[Enter Akashic Backdoor I.]",""
"dlc000_050_051","char_NONAME","{end}[Don't enter.]",""
"dlc000_050_060","char_BUTLER","Please seek my services should the need arise. I can
instantly return you to the In-Between Theater.",""
"dlc000_050_070","char_BUTLER","",""
"dlc000_050_080","char_BUTLER","",""
"dlc000_050_090","char_BUTLER","Well, then, please proceed.",""
"dlc000_050_100","char_BUTLER","Once you're ready, please come again.",""
"dlc000_060_010","char_BUTLER","Beyond this point lies a world askew... Best of luck with
your investigation.",""
"dlc000_060_020","char_BUTLER","",""
"dlc000_060_030","char_BUTLER","",""
"dlc000_060_040","char_BUTLER","Enter Akashic Backdoor II?",""
"dlc000_060_050","char_NONAME","[Enter Akashic Backdoor II.]",""
"dlc000_060_051","char_NONAME","{end}[Don't enter.]",""
"dlc000_060_060","char_BUTLER","Please seek my services should the need arise. I can
instantly return you to the In-Between Theater.",""
"dlc000_060_070","char_BUTLER","",""
"dlc000_060_080","char_BUTLER","",""
"dlc000_060_090","char_BUTLER","Well, then, please proceed.",""
"dlc000_060_100","char_BUTLER","Once you're ready, please come again.",""
"dlc000_070_010","char_BUTLER","Beyond this point lies a world askew... Best of luck with
your investigation.",""
"dlc000_070_020","char_BUTLER","",""
"dlc000_070_030","char_BUTLER","",""
"dlc000_070_040","char_BUTLER","Enter Akashic Backdoor III?",""
"dlc000_070_050","char_NONAME","[Enter Akashic Backdoor III.]",""
"dlc000_070_051","char_NONAME","{end}[Don't enter.]",""
"dlc000_070_060","char_BUTLER","Please seek my services should the need arise. I can
instantly return you to the In-Between Theater.",""
"dlc000_070_070","char_BUTLER","",""
"dlc000_070_080","char_BUTLER","",""
"dlc000_070_090","char_BUTLER","Well, then, please proceed.",""
"dlc000_070_100","char_BUTLER","Once you're ready, please come again.",""
"dlc000_080_010","char_MIREI","I've been waiting for you.",""
"dlc000_100_010","char_MIREI","...Wake up.",""
"dlc000_100_020","char_MIREI","Once you're ready, resume the investigation. I have faith
in you.",""
"dlc000_100_030","char_MIREI","",""
"dlc000_100_040","char_MIREI","",""
"dlc000_110_010","char_BUTLER","This door is not connected to anywhere yet. Please wait a
bit longer...",""
"dlc000_120_010","char_BUTLER","This door is not connected to anywhere yet. Please wait a
bit longer...",""
