string2 0,string 1,string 2,string 3
"f_h0301_0010_0010","char_PLAYER_M","There has to be a way to get to the other side...",""
"f_h0301_0020_0010","char_AEGIOMON","Look! That must be the Digimon!","f_h0301_0020_0010_a
f_h0301_0020_0010_b"
"f_h0301_0020_0020","char_AEGIOMON","They're getting away! Let's go catch them!","f_h0301_0020_0020_a
f_h0301_0020_0020_b"
"f_h0301_0020_0030","char_AEGIOMON","Inori... This might be a bit scary, but I'd appreciate it if you 
stayed close to me.",""
"f_h0301_0020_0040","char_INORI","Yes, of course. I promised to never leave your side.",""
"f_h0301_0030_0010","char_OPERATOR_M","So, hostile Digimon in the Shinjuku Underground are causing 
this? This one doesn't have what we want. Keep looking.",""
"f_h0301_0030_0020","char_OPERATOR_M","Once again... nothing. Maybe this is all just a big joke to them. 
Time to capture another Digimon.",""
"f_h0301_0030_0030","char_OPERATOR_M","This one doesn't have what we're looking for, either. Where is 
it? It's not like we can negotiate with hostile Digimon.",""
"f_h0301_0030_0040","char_AEGIOMON","Hey! Could that be them...?!",""
"f_h0301_0030_0050","char_INORI","We have to hurry...! Before they can run off!",""
"f_h0310_0010_0010","char_VADEMON","Hey, you! You've got some nerve enterin' a race without my
permission!",""
"f_h0310_0010_0020","char_VADEMON","Get over here! Now!",""
"f_h0310_0020_0010","char_VADEMON","I'm Number 160 of the 160 Vademon Brothers. I'm holdin' a
Peckmon Race here.",""
"f_h0310_0020_0020","char_VADEMON","Oh, so it's yer first time, eh? Ya wanna hear more about
Peckmon Races?",""
"f_h0310_0020_0030","char_PLAYER_M","[Listen to the description.]",""
"f_h0310_0020_0031","char_PLAYER_M","{end}Not now.",""
"f_h0310_0020_0040","char_VADEMON","The entry fee is only 5000 YEN! Of course you'll
participate, right?!",""
"f_h0310_0020_0050","char_VADEMON","Oh, you participatin' again...? That'll be 5000 YEN.",""
"f_h0310_0020_0060","char_VADEMON","I heard ya were a star at my brother's place! The entry
fee is 5000 YEN! Good luck!",""
"f_h0310_0020_0070","char_PLAYER_M","[Participate.]",""
"f_h0310_0020_0071","char_PLAYER_M","{end}No, thanks.",""
"f_h0310_0020_0080","char_VADEMON","Hey, this place is for serious racers only! Get lost!",""
"f_h0310_0030_0010","char_VADEMON","Now hurry up and access the device to enter the race! The
crowd is all warmed up!",""
"f_h0310_0040_0010","char_VADEMON","Hurry up and access the device! The crowd is waitin'!",""
"f_h0310_0050_0010","char_VADEMON","Hey, you there! Use that device to sign up for the race!",""
"f_h0310_0060_0010","char_VADEMON","Whoa! Don't touch it with such filthy hands!",""
"f_h0310_0070_0010","char_VADEMON","Aw, too bad. Come back and try again sometime!",""
"f_h0310_0080_0010","char_VADEMON","Hey! That ain't enough YEN! Come back when ya have
more money!",""
"f_h0310_0090_0010","char_VADEMON","Here's a description of Peckmon Races. Glance through it
before the race starts.",""
"f_h0310_0100_0010","char_PECKMON","Squawk, squawk!",""
"f_h0311_0020_0010","char_VADEMON","I'm Number 108 of the 160 Vademon Brothers. I'm holdin' a
Peckmon Race here.",""
"f_h0312_0020_0010","char_VADEMON","I'm Number 77 of the 160 Vademon Brothers. I'm holdin' a
Peckmon Race here.",""
"f_h0313_0020_0010","char_VADEMON","I'm Number 2 of the 160 Vademon Brothers. I'm holdin' a
Peckmon Race here.",""
"f_h0314_0010_0010","char_PLAYER_M","",""
"f_h0315_0010_0010","char_PLAYER_M","",""
"f_h0316_0010_0010","char_PLAYER_M","",""
"f_h0317_0010_0010","char_PLAYER_M","",""
"f_h0318_0010_0010","char_PLAYER_M","",""
"f_h0319_0010_0010","char_PLAYER_M","",""
