string2 0,string 1,string 2,string 3
"m300_010_010","char_AEGIOMON","This place...","m300_010_010"
"m300_010_020","char_AEGIOMON","It looks like we've gone back in time again.","m300_010_020"
"m300_010_030","char_INORI","You're amazing, Aegiomon! With a power like that... everything's
gonna turn out okay.","m300_010_030"
"m300_010_040","char_OPERATOR_M","And I'm sure anyone would say the same...","m300_010_040_M m300_010_040_F"
"m300_010_050","char_OPERATOR_M","With the ability to manipulate time, anything is possible... right?","m300_010_050_M m300_010_050_F"
"m300_010_060","char_OPERATOR_M","But I'm sure you of all people haven't forgotten...","m300_010_060_M m300_010_060_F"
"m300_010_070","char_OPERATOR_M","About Dr. Yuki, ADAMAS founder and your adoptive father.","m300_010_070_M m300_010_070_F"
"m300_010_080","char_OPERATOR_M","He got close to the truth behind the principles of time, and
ended up disappearing from this world...","m300_010_080_M m300_010_080_F"
"m300_010_090","char_OPERATOR_M","...as if he crossed a line that shouldn't have been crossed.","m300_010_090_M m300_010_090_F"
"m300_010_100","char_OPERATOR_M","If anything were possible, we'd be entering the forbidden
domain of the gods...","m300_010_100_M m300_010_100_F"
"m300_010_110","char_OPERATOR_M","And that is a domain we cannot easily tread upon. We may upset
the very order of this world.","m300_010_110_M m300_010_110_F"
"m300_010_120","char_OPERATOR_M","Those who bear such power pose an immense threat.
Watch over him with extreme caution.","m300_010_120_M m300_010_120_F"
"m300_020_010","char_AEGIOMON","If something doesn't change, are all these Digimon gonna
lose their lives...?","m300_020_010"
"m300_020_020","char_INORI","There's no way we can allow that! We have to find out
what's going to happen here!","m300_020_020"
"m300_030_010","char_AEGIOMON","Bacchusmon, something's wrong with everyone.","m300_030_010"
"m300_030_020","char_AEGIOMON","Bacchusmon...?","m300_030_020"
"m300_030_030","char_AEGIOMON","Oh, no. I can't wake him...","m300_030_030"
"m300_030_040","char_INORI","What's... going on...?","m300_030_040"
"m300_030_050","char_AEGIOMON","Inori!","m300_030_050"
"m300_030_060","char_???","Go to sleep... To sleep... Sleep...","m300_030_060"
"m300_030_070","char_???","Sleep... sleep...","m300_030_070"
"m300_030_080","char_???","Sleep... sleep...","m300_030_080"
"m300_030_090","char_AEGIOMON","That voice...","m300_030_090"
"m300_030_100","char_AEGIOMON","Whose... is it...?","m300_030_100"
"m300_040_010","char_INORI","You fell asleep, too?","m300_040_010"
"m300_040_020","char_INORI","I heard a strange song, and I just couldn't keep my eyes
open anymore.","m300_040_020"
"m300_040_030","char_INORI","When I came to, I found myself here.","m300_040_030"
"m300_040_040","char_AEGIOMON","Is there an exit anywhere?","m300_040_040"
"m300_050_010","char_WITCHMON","Oh, my. What do we have here? You look like light sleepers.","m300_050_010"
