string2 0,string 1,string 2,string 3
"f_t3001_0010_0010","char_MIREI","Hello, there. What would you like to do?",""
"f_t3001_0020_0010","char_PLAYER_M","I wanna check out the Digifarm.",""
"f_t3001_0020_0011","char_PLAYER_M","{end}Nothing for now, thanks.",""
"f_t3001_0020_0015","char_PLAYER_M","A strange message, you say?",""
"f_t3001_0020_0016","char_PLAYER_M","I wanna check out the Digifarm.",""
"f_t3001_0020_0017","char_PLAYER_M","I wanna go to the Outer Dungeons.",""
"f_t3001_0020_0018","char_PLAYER_M","{end}Nothing for now, thanks.",""
"f_t3001_0020_0020","char_PLAYER_M","I wanna check out the Digifarm.",""
"f_t3001_0020_0021","char_PLAYER_M","I wanna go to the Outer Dungeons.",""
"f_t3001_0020_0022","char_PLAYER_M","{end}Nothing for now, thanks.",""
"f_t3001_0030_0010","char_MIREI","Let me know if you ever need anything.
May your journey be blessed with good fortune.",""
"f_t3001_0040_0010","char_FRONTCLERK","The communication system is still under maintenance.",""
"f_t3001_0050_0010","char_MIREI","Welcome to the In-Between, a dimension located on the border
between reality and dreams.",""
"f_t3001_0050_0020","char_MIREI","The fact that you can perceive this place at all is proof
you're on a similar wavelength as the In-Between.",""
"f_t3001_0050_0030","char_MIREI","You're no ordinary lifeform, are you? Case in point, I have
a feeling you know of some other beings...",""
"f_t3001_0050_0040","char_MIREI","...that can travel freely between different worlds. Am I right?",""
"f_t3001_0050_0050","char_MIREI","...Now, then. What can I do for you?",""
"f_t3001_0060_0010","char_PLAYER_M","I wanna investigate this place a little more.",""
"f_t3001_0070_0010","char_PLAYER_M","Why your body has been unstable, you say?",""
"f_t3001_0070_0011","char_PLAYER_M","I wanna check out the Digifarm.",""
"f_t3001_0070_0012","char_PLAYER_M","I wanna rest for a while.",""
"f_t3001_0070_0013","char_PLAYER_M","{end}Nothing for now, thanks.",""
"f_t3001_0080_0010","char_PLAYER_M","Detecting disturbances all over the world?",""
"f_t3001_0080_0011","char_PLAYER_M","I wanna check out the Digifarm.",""
"f_t3001_0080_0012","char_PLAYER_M","I wanna rest for a while.",""
"f_t3001_0080_0013","char_PLAYER_M","{end}Nothing for now, thanks.",""
"f_t3001_0090_0010","char_PLAYER_M","The power to return all to nothingness?",""
"f_t3001_0090_0011","char_PLAYER_M","The power to control time?",""
"f_t3001_0090_0012","char_PLAYER_M","Almighty power?",""
"f_t3001_0090_0013","char_PLAYER_M","The ultimate fused form?",""
"f_t3001_0090_0014","char_PLAYER_M","{end}Nothing for now, thanks.",""
"f_t3001_0100_0010","","Where would you like to go?",""
"f_t3001_0110_0010","char_PLAYER_M","I wanna go defeat Apocalymon.",""
"f_t3001_0110_0011","char_PLAYER_M","I wanna go defeat Millenniummon.",""
"f_t3001_0110_0012","char_PLAYER_M","I wanna go defeat Diaboromon.",""
"f_t3001_0110_0013","char_PLAYER_M","I wanna go defeat Armageddemon.",""
"f_t3001_0110_0014","char_PLAYER_M","{end}Nowhere for now, thanks.",""
"f_t3001_0120_0010","char_MIREI","The screening is about to begin.
Please make your way into the theater.",""
"f_t3001_0130_0010","char_FRONTCLERK","Would you like to access {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}?
You may also review your Item Packs.",""
"f_t3001_0130_0020","char_FRONTCLERK","Open {pf(PlayStation®Store/Microsoft Store/Nintendo eShop/the Online Store)}.",""
"f_t3001_0130_0021","char_FRONTCLERK","Review your Item Packs.",""
"f_t3001_0130_0022","char_FRONTCLERK","{end}Not now, thanks.",""
"f_t3001_0140_0010","char_MIREI","Those three are known as ""hosts."" They exist in a dimension
outside the world, one we normally can't perceive.","f_t3001_0140_0010"
"f_t3001_0140_0020","char_MIREI","They were made by the higher being who created the world.
Their child forms are only so they can interact with us.","f_t3001_0140_0020"
