string2 0,string 1
"1003","Saving..."
"1004","Save complete."
"1005","Not enough free space.
Either delete or overwrite save data."
"1006","Not enough free space.
Either delete or overwrite other save data."
"1007","Save failed."
"1008","Loading..."
"1009","Load complete."
"1010","Load failed."
"1011","File is corrupted."
"1012","Deleting save data..."
"1013","Delete complete."
"1014","Delete failed."
"1015","Unable to load add-on content.
Please try downloading the content from PlayStation®Store again."
"1016","Settings saved."
"1017","No {pf(add-ons are/add-ons are/downloadable content is/downloadable content is)} currently available for purchase.
Please wait for future updates."
"1050","The name you have entered includes inappropriate words."
"1202","Unable to select this Digimon.
This would remove all battle members from your party."
"1203","Unable to convert any more Digimon.
You have reached the maximum number of Digimon."
"1211","Once Digivolved or De-Digivolved, Digimon can't be changed back.
Make sure that's what you want to do before Digivolving or De-Digivolving."
"1212","Can't move this Digimon. You would no longer
have any Digimon who can fight."
"1215","Equipment removed from all members!"
"1216","Accessories removed from all members!"
"1217","No locations available to move to."
"1218","No scanned Digimon available."
"1219","No ridable Digimon available."
"1220","This Digimon is protected and can't be selected."
"1221","Can't select any more."
"1222","Unable to De-Digivolve.
Your box is full."
"1300","This location is currently inaccessible."
"1400","Checking system data..."
"1500","Insufficient Anomaly Points to learn this skill."
"1701","SCAN: {n0}% > {n1}%"
"1702","SCAN: {n0}% > {n1}%, Convertible"
"1703","SCAN: {n0}% > {n1}%, Max"
"1704","{d0} Lv. {n0} > Lv. {n1}"
"1800","Personality has changed to ""{d0}."""
"1801","Obtained {n0} YEN!"
"1900","Can't use this now."
"1901","Using this would have no effect."
"1903","{n0} EXP {n1} YEN"
"1904","{d0}'s Bond has grown to {fc9{n0}}."
"1905","{d0}'s Personality has changed to {fc9{d1}}."
"1906","{d0}'s cumulative {d1} has been increased."
"1907","Increased level cap of {d0}."
"1913","But you can't carry anything more and have to leave it behind."
"1914","Obtained {fc9{d0}}."
"1915","Obtained {fc9{d0}} x{n0}."
"1916","Handed over {fc9{d0}}."
"1917","Handed over {fc9{d0}} x{n0}."
"1918","Used {fc9{d0}} x{n0}."
"1919","You can't carry any more {fc9{d0}}."
"1920","{fc9}{d0}"
"1921","Not enough SP."
"1922","{d0}'s Growth Limit"
"1923","Received {fc9{{d1}} x{n0} from {d0}."
"2300","You will no longer have any Digimon who can fight."
"2400","You are now able to go to {d0}."
"2600","Maximum number of skills exceeded. 
Moving to the skill replacement screen."
"2601",""
"2700","Created {fc9{d0}} x {d1}!"
"2701","Took apart {fc9{d0}} x {d1}!"
"2702","Recovery failed."
"2703",""
"2704","Random Recovery was not performed.

{fc9 -No Digimon with HP recovery skills in the party.}
{fc9 -No recovery items in inventory.}"
"2705","Random Recovery was not performed.

{fc9 -Not enough SP to use HP recovery skills.}
{fc9 -No recovery items in inventory.}"
"2706","Random Recovery was not performed.

{fc9 -No Digimon with HP recovery skills in the party.}"
"2707","Random Recovery was not performed.

{fc9 -No recovery items in inventory.}"
"2800","Card Pack complete!
{fa1}{d0}"
"2900","Unused"
"2901","Unused"
"2902","Unused"
"2903","Unused"
"2904","Connecting..."
"2905","Unable to connect."
"2906","The connection was lost."
"2907","A connection error has occurred."
"2908",""
"2909",""
"2910","The connection was ended."
"2911","Unused"
"2912","Unused"
"2913","The connection was canceled."
"2914","Unused"
"2915","Unused"
"2916","Unused"
"2917","This service is currently unavailable."
"2918",""
"2919",""
"2920","This content is unavailable on this account."
"2921","Unable to download data."
"2922","Failed to create table."
"2923","Unused"
"3000","{d0} Digimon have begun training!"
"3001","{d0} Digimon have begun creating!"
"3002","{d0} Digimon have begun investigating!"
"3003","You have 99 {d0}. You can't accept any more."
"3004","Bond increased by {n0}!
{n1} > {fc9{n2}}"
"3005",""
"3006",""
"3007",""
"3008",""
"3009","No farm items to collect."
"3100","You can't save now."
"3200",""
"3201",""
"3202",""
"3203",""
"3600","Registered."
"3601","Deleted."
"3602","Changed."
"3603","No space in set. Please delete."
"5051","The party's HP and SP have been fully recovered!"
"6000","Obtained Birdramon's Digimemory!"
"7000","{fc9Inori} and {fc9Aegiomon} left the party."
"7001","{fc9Kotemon} joined the party."
"7002","{fc9Bearmon} joined the party."
"7003","{fc9Kotemon} and {fc9Bearmon} left the party."
"7004","{fc9Divermon} joined the party."
"7005","{fc9Divermon} left the party."
"7006","Obtained the keepsake jewels."
"7009","{fc9Inori} joined the party."
"7010","{fc9Minervamon} joined the party."
"7011","{fc9Veemon} joined the party."
"7012","{fc9Veemon} left the party."
"7013","{fc9Aegiomon} joined the party."
"7014","{fc9Aegiomon} left the party."
"7015","{fc9Dr. Simmons} joined the party."
"7016","{fc9Dr. Simmons} left the party."
"7017","{fc9Inori} and {fc9Aegiomon} joined the party."
"7018","{fc9Hiroko} joined the party."
"7019","{fc9Hiroko} left the party."
"7020","{fc9Elecmon} and {fc9Kou} joined the party."
"7021","{fc9Inori} left the party."
"7022","{fc9Dr. Simmons} and {fc9Kou} joined the party."
"7023","{fc9Dr. Simmons} and {fc9Kou} left the party."
"7024","{fc9Takemiya} joined the party."
"7025","{fc9Takemiya} left the party."
"7026","{fc9Inori}, {fc9Aegiomon} and {fc9Minervamon} joined the party."
"7027","{fc9Inori}, {fc9Aegiomon} and {fc9Minervamon} left the party."
"7028","The guardian's eyes were closed."
"7029","{fc9Kokuwamon B} joined the party."
"7030","{fc9Divermon} joined the party."
"7031","{fc9Submarimon} joined the party."
"7032","{fc9Palmon} joined the party."
"7033","{fc9Sirenmon} joined the party."
