string2 0,string 1
"1","T-shirts are going missing! Is this an anomalous 
phenomenon? Come to Inori's pop's office, and I'll fill 
you in!"
"2","I received a mysterious message, and I'm trying to 
figure it out. Come to Inori's pop's office to help me!"
"3","There's information about a mysterious phenomenon 
in Shinjuku Park! Let's meet up at the Waterfall Plaza
in the park!"
"11","So the sea was purified... But I wonder how our friends fare now..."
"12","Why...? Why isn't my medicine working?"
"13","I still have some Blue Chrondigizoit Metal left over, and
there is a favor I would like to ask of you. Could you come
to the throne?"
"14","Has this village always been like this? I wonder what Divermon is up to now..."
"15","Where could Divermon be...? I'm kind of worried. I hope everything's okay..."
"16","If Divermon is in the underworld, then I have to go there, too...!"
"18","I'm here all alone now. I'm having trouble with 
something, so can you come to Abyss Beach to help?"
"19","Help! Me trapped in Abyss Sanctuary prison! 
Me hope somebody gets this!"
"24","Ouch... I've been attacked by bees... What a day! I'll be
waiting for you at the Shade Tree Pier. Can you come talk?"
"26","Gwa la la! ♪ Hmm, I wonder if there isn't some way
I can sing better. Come to think of it, I HAVE heard
of a fruit that can make one's voice heavenly..."
"27","I desire fun! Merrymaking! I'm in great need of someone
to help me get the band back together!"
"29","Having a band would make the party more lively. 
I need your help. I'll be waiting for you in Gear Forest
village."
"30","Gear Forest may be in danger because of those bees! 
Please, come to the village!"
"31","There seems to be a lot of fun hustle and bustle in
Gear Forest Village these days, but I cannot leave the
sanctuary... so I am missing out..."
"32","We're protectin' the peace of the forest! We're gonna 
start our patrol from the Floating Island Plains!"
"33","Us brothers are gonna make the forest peaceful again!
Those leftover Titans are as good as gone from the
Floating Rock Islands!"
"38","I've got a big favor to ask you. Could you stop by the 
shop when you're in Central Town?"
"39","My precious hammer is in trouble... My hammer is 
my life! Come to the shop in Central Town. I'm 
begging you!"
"40","I wanna give those Gabumon that are just palling around a piece of my mind. Say something to them, will you?!"
"41","My friend who looks after Central Tower hasn't come 
back. We were supposed to meet downtown. Are
they slacking off or something?"
"42","I can't get Parrotmon's plume because
the Titans are in the way! Maybe I
should go downtown and rethink the
plan."
"43","We're gonna get PlatinumNumemon's jewelry this 
time fer sure! If anybody wants to come with us, meet 
us downtown in Central Town!"
"44","I want to get strong enough to defeat the Titans. So could you go find me ten pieces of meat? I'd do it myself, but I'm dead broke! I'm counting on you."
"45","Meat training made me stronger! Now I'm going to try climbing the radio tower!"
"46","I would like to speak with you again, but I am afraid I am
much too busy to leave. Please come to Central Town
when you are in the area."
"47","*sigh* This is just terrible... How did this happen...?"
"48","The Titans really trashed Central Town. I'm never going to get all this cleaned up! Someone lend me a hand!"
"49","There's a GaoGamon in Central Town that howls day in and day out. Can someone go see what all the racket's about?"
"50","*sigh* Kotemon ran off again today. I need someone to help me convince it to stop ditching its training!"
"52","Ya think you're tough? Come to the underworld and let's find out!"
"53","O warriors of stout arm, come to the underworld! The exhibition bouts have commenced!"
"55","Hmm... Can love really change a person, I wonder...?
Hey, want to talk? Come see me in Rebellion Village."
"56","Hmm... I still don't get it... Come to Rebellion Village, so
we can talk more."
"57","This feeling... I have to do something about it. Come
meet me in Rebellion Village."
"59","I want to go on a trip with Blimpmon. I can't stay in 
Central Town forever!"
"60","I can't go on like this...! I think I need your advice.
I'll be waiting in Central Town."
"61","Peace is returning to the world. But what about me? I still crave battle... My blood rages!"
"62","Apollomon seems really hooked on card games. Still just a big kid, that one, even after Digivolving..."
"63","Ugh, nothing to do... Waiting for Nervy is so boring!"
"70","Companion of the Great Guardian, I have a favor to ask of you. I await you in the temple."
"71","It seems there is another lost child. Can you assist me? I await you in the temple."
"72","I was able to get a reservation with that famous fortune 
teller. Let's go together! Hurry to the coffee shop at the 
Koshu-Kaido Intersection!"
"73","There is a Digimon I wish for you to assist. We can speak in more detail at the fortune telling shop. Come by soon."
"74","Uh-oh... I got carried away and ended up somewhere crazy... I think I am in over my head!"
"77","Factorial Town's production line is inoperative... 
Requesting more of the metal material Chrondigizoit Metal."
"78","BLIMPMON CRASHED IN FACTORIAL TOWN
AND I WANT TO HELP FIX IT!"
"82","I obtained a part for a most excellent action figure, 
but I need some advice about it. Come see me in the 
Factorial Core."
"83","You did a superb job delivering the action figure the other day, so I have another favor to ask you. I'll be waiting at the factory."
"84","Vulcanusmon is hardly ever around lately. Do you guys know what's going on? Stop by and see me."
"87","I know they're not used to this world, but I didn't think 
we'd have to get the help of humans... Ah, well. Please 
come to the theater VIP room."
"88","Can you stop by the VIP room? I need to ask you a 
favor. It shouldn't be a bad deal for you, either."
"89","The helpers I brought are in the Paradise Colosseum. 
You should go see them and remind them of their role."
"90","I've confirmed an anomalous phenomenon! But I have a 
feeling it's a little complicated. I'm in the back alleys of 
Akihabara. Come find me!"
"91","We were running away from something
scary, but my friend didn't make it!
My friend's at the Central Town.
Please help!"
"92","I managed to arrive at Central Tower on time... but
everyone in this world is so strong that I'm feeling a
bit unsure of myself."
"93","I'll defeat the immortal steed of the Dark Garden, and in
so doing reclaim my confidence as a knight!"
"94","Something strange is going on in Lord Plutomon's castle,
but I'm too scared to investigate... Someone, please help!"
"98","Hey, come to Central Tower! I wanna show you all the
Royal Knights gathered here."
"99","I, Gallantmon, came to Factorial Town to fix my 
equipment, but I did not expect to be stopped here... 
Hmm."
"100","I'm with Raptordramon in the sanctuary of the Gear 
Forest, but I don't get why it hates humans so much."
"101","I have come all this way to Factorial Town, but I cannot
get my armor fixed. I need your help!"
"102","I came to the Abyss Sanctuary to repair my armor, but
how do I get a meeting with Neptunemon?"
