key,text
"1010","Talk to Hiroko Sagisaka."
"1020","Begin investigating the thefts with Hiroko Sagisaka."
"1030","Talk to the man at the T-shirt shop."
"1040","Chase the thief into the back alley in Shinjuku."
"1050","Chase the thief into the underground in Shinjuku."
"2010","Talk to Hiroko Sagisaka."
"2020","Go to the alley in Akihabara with Hiroko Sagisaka."
"2030","Investigate the Akihabara alley."
"2040","Look for the first block."
"2041","Look for the second block."
"2050","Deliver the blocks to Shota Kuroi."
"3010","Talk to Hiroko Sagisaka."
"3020","Begin investigating the park with Hiroko Sagisaka."
"3030","Investigate Shinjuku Park."
"3040","Talk to Asuna Shiroki."
"3050","Go to the location where Asuna Shiroki heard the cry."
"3060","Chase the Digimon into the Shinjuku underground."
"11010","Talk to Venusmon."
"11020","Help Venusmon."
"11030","Look for Crabmon."
"12010","Talk to Venusmon."
"12020","See what happened to Bukamon."
"12030","Defeat Octomon."
"12040","Give the sample of poison to Venusmon."
"13010","Talk to Neptunemon."
"13020","Listen to Neptunemon's request."
"13030","Deliver the ring to Venusmon."
"13040","Deliver the medicine to Neptunemon."
"14010","Talk to Gomamon."
"14020","Look for Divermon in the Dark Area."
"14030","Give Venusmon's medicine to Divermon."
"14040","Win the bout with Divermon."
"14050","Head to the throne."
"15010","Talk to Shellmon."
"15020","Talk to Dragomon about Divermon."
"15030","Talk to Shellmon."
"16010","Talk to Shellmon."
"16020","Look for Divermon with Shellmon."
"16030","Win the bout with Shellmon."
"16040","Head to the throne."
"18010","Talk to Kamemon."
"18020","Head to Shellmon's house with Kamemon."
"18030","Look for clues about how to test water quality."
"18040","Pick the aquatic plant and give it to Kamemon."
"19010","Talk to JumboGamemon."
"19020","Tell Neptunemon about what happened at the cell."
"19030","Head to the cell with Neptunemon."
"24010","Talk to Muchomon."
"24020","Destroy all of the beehives."
"24030","Report to Muchomon."
"26010","Talk to Lalamon."
"26020","Talk to Kabuterimon."
"26030","Look for the Melodious Melon."
"26040","Report to Lalamon."
"27010","Talk to Bacchusmon."
"27020","Talk to Kabuterimon."
"27030","Look for a Sunflowmon that sings well."
"27040","Report to Bacchusmon."
"28010","Talk to Bacchusmon."
"28020","Look for Otamamon."
"28030","Introduce Otamamon to Bacchusmon."
"29010","Talk to Bacchusmon."
"29020","Head to the sanctuary."
"29030","Defeat the Titans with Leopardmon."
"29040","Report to Bacchusmon."
"30010","Talk to Peckmon."
"30020","Go to the duel site."
"30030","Defeat TigerVespamon."
"30040","Report to Peckmon."
"31010","Talk to the sprout in the sanctuary."
"31020","Talk to ShogunGekomon."
"31030","Gather Spirit Seeds."
"31040","Give the Spirit Seeds to ShogunGekomon."
"31050","Listen to ShogunGekomon's song."
"32010","Talk to the Bearmon brothers."
"32020","Go see Little Bearmon."
"32030","Go see Big Bearmon."
"33010","Talk to the Drimogemon brothers."
"33020","Follow Little Drimogemon."
"33030","Follow Big Drimogemon."
"33040","Talk to Little Drimogemon."
"38010","Talk to Zudomon."
"38020","Take a Rusty Iron Texture to Zudomon."
"38030","Take them to Zudomon."
"38040",""
"39010","Talk to Zudomon."
"39020","Obtain some Chrondigizoit Metal."
"39030","Take the Chrondigizoit Metal to Zudomon."
"40010","Talk to Gaomon."
"40020","Talk to Gabumon's group."
"40030","Report to Gaomon."
"41010","Talk to Hagurumon."
"41020","Check on Hagurumon at the entrance to Central Tower."
"41030","Report to Hagurumon."
"42010","Talk to Solarmon."
"42020","Talk to Solarmon at the top of the tower."
"42030","Find a Parrotmon plume."
"42040","Give the plume to Solarmon."
"43010","Talk to Big Bearmon."
"43020","Follow the Bearmon Brothers underground."
"43030","Defeat the Digimon underground."
"43040","Gather info in the tavern about the jewelry."
"43050","Get PlatinumNumemon's Jewelry."
"43060","Take the jewelry to the Bearmon Brothers."
"44010","Gather Digimeat x10."
"45010","Scout the way to the top of  the Central Tower."
"46010","Go see Merukimon."
"46020","Complete the ""Tree-novations"" quest."
"46021","Complete the ""Litter Cleanup"" quest."
"46022","Complete the ""That Guy"" quest."
"46023","Complete the ""The Master's Roar"" quest."
"46030","Report to Merukimon."
"47010","Talk to Tanemon."
"47020","Go see Tanemon in the past."
"47030","Investigate the house."
"47040","Talk to Tanemon."
"47050","Report to Tanemon in the future."
"48010","Talk to CatchMamemon."
"48020","Pick up the trash."
"48030","Talk to CatchMamemon."
