string2 0,string 1
"29001","Boosts {fc9HP}.
Shifts Personality toward {fc9Heart}."
"29002","Boosts {fc9SP}.
Shifts Personality toward {fc9Understanding}."
"29003","Boosts {fc9ATK}.
Shifts Personality toward {fc9Heart} and {fc9Affection}."
"29004","Greatly boosts {fc9ATK}.
Personality greatly
shifts in the {fc9courage}
direction. Personality
greatly shifts in the {fc9love} direction."
"29005","Boosts {fc9DEF}.
Shifts Personality toward {fc9Heart} and {fc9Companionship}."
"29006","Boosts {fc9INT}.
Shifts Personality toward {fc9Understanding} and {fc9Companionship}."
"29007","Boosts {fc9SPI}.
Shifts Personality toward {fc9Understanding} and {fc9Affection}."
"29008","Boosts {fc9SPD}.
Shifts Personality toward {fc9Heart} and {fc9Companionship}."
"29009","Greatly boosts {fc9HP}.
Personality greatly
shifts in the {fc9courage}
direction."
"29010","Greatly boosts {fc9SP}.
Personality greatly
shifts in the {fc9knowledge}
direction."
"29011","Greatly boosts {fc9DEF}.
Personality greatly
shifts in the {fc9courage}
direction. Personality
greatly shifts in the {fc9friendship} direction."
"29012","Greatly boosts {fc9INT}.
Personality greatly
shifts in the {fc9knowledge}
direction. Personality
greatly shifts in the {fc9friendship} direction."
"29013","Greatly boosts {fc9SPI}.
Personality greatly
shifts in the {fc9knowledge}
direction. Personality
greatly shifts in the {fc9love} direction."
"29014","Greatly boosts {fc9SPD}.
Personality greatly
shifts in the {fc9courage}
direction. Personality
greatly shifts in the {fc9friendship} direction."
