string2 0,string 1
"tutorial_exp_debug",""
"tutorial_exp_notext_01_001",""
"tutorial_exp_BattleBasic_01_001","Digimon battles feature up to three battle members on each
side. The Digimon with the highest SPD value moves first. The
battles are entirely turn-based, once each member has moved,
the turn order is recalculated based on each member's SPD."
"tutorial_exp_AdditionalAttack_01_001","{fc9A special ability that allows Digimon to perform follow-up attacks.
Triggers when hitting an enemy with an attack or skill.}

The chance of Extra Strikes occurring depends on the stats of your
ally Digimon and enemy.

There are also ""Strike Effects"" which may trigger additional effects."
"tutorial_exp_AdditionalAttack_01_002","When Extra Strike triggers, a circle will appear on the HUD.

{fc9Press {decision} when the circle reaches the center to cause a Strike Effect.}

This will activate various additional effects such as healing allies,
or applying status abnormalities on enemies.

{fc9Effects change depending on a Digimon's Attribute and Personality.}
Try out different combinations to use in battle."
"tutorial_exp_Compatibility_01_001","Damage is calculated based on Attribute compatibility {fc9(the
compatibility matrix of {is28}{image(ui_icon_type_000)} Vaccine > {is28}{image(ui_icon_type_040)} Virus > {is28}{image(ui_icon_type_020)} Data)}
as well as Elemental Resistances and Traits."
"tutorial_exp_Compatibility_01_002","Attack compatibility can be confirmed during target selection,
where {fc9damage output in %} will be displayed along with
{fc9corresponding arrow icons} to indicate effects based on Attributes,
Element, and Traits."
"tutorial_exp_Compatibility_01_003","You can also view an enemy's compatibility details via {fc9{l2} Analyze}.

When facing enemies with unfavorable compatibility, consider
switching to Digimon with favorable compatibility."
"tutorial_exp_Compatibility_01_004","Detailed information on Attributes, Elements, and Traits can be
found via Digivice > System > Tutorials > Battle, under:
{fc9 - Attribute Compatibility
 - Elements
 - Traits}"
"tutorial_exp_BattleCrossarts_01_001","A battle action which can be employed by Agents.

By consuming a massive amount of energy, the Agent can unleash
powerful Cross Arts capable of changing the course of battle.

{fc9When your CP (Critical Points) reaches full charge during battle, you
will enter a ""Cross Art Ready"" state. Press {r2} to pull the trigger
and fire off your Cross Art.}"
"tutorial_exp_BattleCrossarts_01_002","Reference Video: Cross Art Is Ready to Launch
The CP Gauge is full. Press {r2} at this time to
activate the Cross Art."
"tutorial_exp_Escape_01_001","{fc9Press {r1} in battle to flee from hostile Digimon.}
There is no shame for an agent to exercise discretion in the course
of a mission.

However, fleeing constantly will gain you nothing. And there may be
enemies that you can't escape from. That's why it's also important
to gain experience for such occasions.

Balance your decisions carefully."
"tutorial_exp_Guard_01_001","{fc9Guarding greatly reduces damage until the Digimon's next turn.}

This battle command is useful when you can't avoid attacks from
an enemy with unfavorable compatibility or powerful Special Skills."
"tutorial_exp_Analysis_01_001","An in-battle action command that allows you to view a Digimon's status.

{fc9Information such as Attribute, Element and Traits should provide
hints for determining favorable or unfavorable compatibility.}

Put Analyze to good use when planning your battle strategies."
"tutorial_exp_OutoBattle_01_001","This mode lets your Digimon fight battles automatically.
The actions performed depend on the Digimon's personality.
Use {rs} to switch Auto Mode on and off."
"tutorial_exp_HighSpeedMode_01_001","This mode accelerates time and speeds up combat.
There are four levels in total: 1x, 2x, 3x and 5x.
Select your favorite speed and fight each battle at your pace."
"tutorial_exp_Boss_01_001","Some powerful foes have ""Critical Points (CP).""

{fc9As these foes gain more CP, their abilities may change.}
- Additional actions (added at the end of the turn order).
- Stat buffs.
And more."
"tutorial_exp_Boss_01_002","The enemy can gain Critical Points through a variety of actions.

{fc9In particular, if the enemy attacks an ally Digimon's weak point,
that enemy's CP will greatly increase.}

You can reduce the enemy's CP by performing actions that increase
your own.

{fc9For both you and the enemy, actions that increase one's CP will
reduce the other's.}"
"tutorial_exp_Boss_01_003","Reference Image: Boosting Stats A Digimon's
stats may be enhanced according to its CP value.
The enhancements can be seen under the HP Gauge."
"tutorial_exp_Boss_02_001","A status change that occurs when an enemy is charging up to use a
powerful Special Skill. Once charged, the enemy will unleash the
Special Skill.

{fc9Once in a charging state, the enemy will not act as it gathers power,
but it will continue to accumulate CP and build up its strength.}

Charging puts you in a desperate situation, but it also provides a
chance for counterattack."
"tutorial_exp_Boss_02_002","When an enemy is charging, a Breaking Point Gauge is added to the
enemy in the attack target selection menu.

{fc9With concentrated attacks, it is possible to deplete the Breaking
Point Gauge and interrupt the enemy's charge. This is called a
Charge Break.}

The amount remaining until Charge Break is achieved is indicated
by a white bar below the HP Gauge."
"tutorial_exp_Boss_02_003","A successful Charge Break will:
{fc9 - Reset enemy CP (and reset enhancements from CP gain).
 - Cancel Strong state (resetting buff effects that cannot otherwise
be canceled).
 - Cancel release of the Special Skill after charging.}

There is always a chance for counterattack."
"tutorial_exp_CpAdd_01_001","{fc9To use Cross Arts, you must fully charge your Critical Points.}

CP increases based on the actions taken in battle.
Once at full charge, you will enter a ""Cross Art Ready"" state.

Once your thoughts have aligned with your allies, you, the Agent,
pull the {r2} trigger."
"tutorial_exp_CpFluctuation_01_001","Critical Points are  gained upon performing actions in battle, such
as attacking or healing.

{fc9The most effective way of earning CP is to strike an enemy's weak
point. Conversely, you will lose a large amount of CP if an enemy
strikes an ally Digimon's weak point.}

Selecting Digimon and skills with favorable Attribute and Element
compatibility in mind will make it easier to charge CP.

{fc9CP charge carries over between battles.}"
"tutorial_exp_Danger_01_001",""
"tutorial_exp_Dead_01_001","This occurs when HP reaches zero. Digimon that have been
KO'd are incapable of combat, so you must attend to them as
soon as possible.

- Use a revival item/skill to revive the ally.
- Replace the KO'd ally with a reserved member.

KO'd Digimon are revived after the battle with only 1 HP, so
remember to heal them before proceeding."
"tutorial_exp_Zombi_01_001","An anomaly has occurred due to ZombiePlutomon's rampaging
power. This terrifying effect is called ""Reaper's Mist.""

{fc9- Recovering HP instead reduces Max HP. (HP recovery is not
possible.)
- Max HP cannot be increased once reduced. (This returns to
normal after battle.)
- This effect cannot be removed during battle.}

This makes it easy to get KO'd, but with clever application of your
wits and strengths as an agent, you should be able to overcome
the odds."
"tutorial_exp_AttackCategory_01_001","There are two types of attacks: ""physical"" and ""magic"".

{fc9Physical attacks are effective against foes with low DEF.
For enemies with low SPI, you'll want to use magic attacks.}

Some Digimon are resistant to both physical and magic attacks.
Be sure to check your foes' characteristics as you fight.

{is28}{image(ui_icon_btlStatus_044)}: Reduces physical damage.
{is28}{image(ui_icon_btlStatus_045)}: Reduces magic damage."
"tutorial_exp_DigimonBasic_01_001",""
"tutorial_exp_Status_01_001","Make sure to carefully review the data of your ally Digimon.

Not only will you be better able to understand their hidden powers,
but you're bound to find hints on how to better train them as well.

You might even find inspiration for some new strategies.

{fc9Digimon can also be enhanced by changing their Attachment Skills
or equipment. If you obtain any Skill Discs or equipment, be sure to
equip them.}"
"tutorial_exp_Status_02_001","ATK: Affects how much {fc9{is28}{image(ui_icon_tab_0001)} physical damage} is dealt to enemies.
DEF: Affects how much {fc9{is28}{image(ui_icon_tab_0001)} damage from enemy physical attacks} is
reduced.
INT: Affects how much {fc9{is28}{image(ui_icon_tab_0002)} magic damage} is dealt to enemies.
SPI: Affects how much {fc9{is28}{image(ui_icon_tab_0002)} damage from enemy magic attacks} is
reduced and how much {fc9{is28}{image(ui_icon_tab_0003)} HP recovery skills heal}.
SPD: Affects {fc9turn order} in battle.
CRT Rate: Affects the rate at which {fc9critical hits (1.3x damage)} occur."
"tutorial_exp_Status_03_001","{fc9{is28}{image(ui_icon_type_000)} Vaccine}
{fc9{is28}{image(ui_icon_type_020)} Data}
{fc9{is28}{image(ui_icon_type_040)} Virus}
{fc9{is28}{image(ui_icon_type_060)} Free}
{fc9{is28}{image(ui_icon_type_080)} Variable}
{fc9{is28}{image(ui_icon_type_100)} Unknown}
In-Training I and II Digimon are {fc9{is28}{image(ui_icon_type_120)} No Data}.

You can confirm a Digimon's Attribute via their stats screen."
"tutorial_exp_Status_04_001"," - Favorable compatibility:{fc9 2x damage}
 - Unfavorable compatibility:{fc9 0.5x damage}
 - {is28}{image(ui_icon_type_120)} {fc9No Data}, {is28}{image(ui_icon_type_060)} {fc9Free}, {is28}{image(ui_icon_type_080)} {fc9Variable}, and {is28}{image(ui_icon_type_100)} {fc9Unknown} have no
favorability toward other Attributes."
"tutorial_exp_Convert_01_001","This feature allows you to create new partner Digimon based on
accumulated battle data. {fc9Digimon can be converted upon
reaching a Scan Rate of 100%, up to a maximum of 200%.} The
Scan Rate of a Digimon increases after defeating them in battle.
If you find a Digimon you want, fight it over and over to build up
its Scan Rate."
"tutorial_exp_Convert_01_002","You can view the Scan Rate for each Digimon by navigating to
Digimon > Convert on your Digivice.

{fc9The closer the Scan Rate is to 200%, the greater the converted
Digimon's Max HP and Talent will be.}

We recommend reaching a Scan Rate of 200% before converting
Digimon."
"tutorial_exp_Change_01_001","Digimon that participate in battle are split into three categories:

{fc9Battle Members}: Digimon which enter combat at the start of battle
{fc9Reserve Members}: Digimon which you can substitue Battle Members
for during battle
{fc9Guest Members}: Digimon which have temporarily joined your party
and conduct battle independently

{fc9Strategize and change between Battle and Reserve members in order
to make effective use of enemy weaknesses.}"
"tutorial_exp_Evolution_01_001","As Digimon gain experience, they can undergo significant changes
to their appearance and nature that make them even stronger. These
sudden transformations are referred to as ""Digivolution."" 

{fc9There are certain conditions for Digivolution:
- Meet the required stats (excluding increases from equipment).
- Meet the required agent rank.}

Collect data on as many Digimon as possible and use it to uncover
new Digivolution results."
"tutorial_exp_Evolution_01_002","Conversely, the process of compressing a Digimon's data is referred
to as ""De-Digivolution.""

{fc9One of the following conditions must be met:
- The resulting De-Digivolution Digimon is registered in your Field
Guide, or
- The resulting De-Digivolution Digimon is of the same personality.}

This is an effective means of Digivolving a particular Digimon into a
different specimen."
"tutorial_exp_Evolution_01_003","There are secret techniques for Digivolution
and De-Digivolution. Navigate to System >
Tutorial > Training on your Digivice to view:
{fc9""Digivolution Technique 1: Talent,""
""Digivolution Technique 2: Cumulative Value,""
and ""Digivolution Technique 3: Bond Points.""}"
"tutorial_exp_SkillChange_01_001","Your ally Digimon are capable of equipping ""Attachment Skills,""
allowing you to change their abilities at will.

{fc9Up to 4 skills can be equipped using ""Skill Discs.""}

Skill Discs can be obtained in a variety of ways, such as purchasing
them in shops, finding them in treasure chests, or gaining them
when your Digimon level up."
"tutorial_exp_SkillChange_01_002","Set your Digimon's Attachment Skills by navigating your Digivice
to Digimon > Setup > {sub2} Show Stats/Skills, then selecting a slot
under Attachment Skills.

{fc9Attachment Skills (Skills Discs) can be removed and re-equipped
to other Digimon.}

Use Attachment Skills to compensate for weaknesses, to further
enhance strengths, or to counter compatibility issues."
"tutorial_exp_EquipmentChange_01_001","""Equipment"" consist of upgrade patches which enhance your
Digimon's capabilities.

Set your Digimon's Equipment by navigating your Digivice to
Digimon > Setup > {sub2} Show Stats/Skills, then selecting a slot
under Equipment.

{fc9Equipment can be removed and re-equipped to other Digimon.}

Equipment can be obtained in a variety of ways, such as purchasing
them in shops or finding them in treasure chests. There are also
rumors of equipment that can only be obtained from particular
Digimon."
