string2 0,string 1
"1","One of Japan's top shopping districts. Various
shops and restaurants can be found in its many
buildings."
"2","Japan's electronics retailer hotspot and source of
various sub-cultures. It is a world-famous tourist
destination."
"3","An office district filled with many skyscrapers.
Numerous business people work here, unlike
Higashi-Shinjuku."
"4","A shopping district a few minutes away from
Shinjuku Station. Despite retaining its traditional
atmosphere, it is quite the bustling area."
"101","The most distant land in the Digital World: Iliad,
it is a harsh locale often said to resemble
outer space."
"102","The central city in the Digital World: Iliad, ruled
over by Merukimon, the god of speed."
"103","An aquatic region surrounded by a beautiful
ocean. It is home to many Digimon who live near
the water."
"104","An area featuring vast forests centered around
the World Tree, where the myriad veins of the
Current converge."
"105","The Digital World: Iliad's industrial area. Under
the management of Vulcanusmon, it supplies
electricity to the land."
"106","This area features a temple devoted to the
Divine Oracle Junomon, who manages the gate
linked to the human world."
"107","The sacred land of the exiled Titans. A barren
and desolate place due to the lack of veins to
supply it with the Current."
"108",""
"109",""
"110",""
"111",""
"112",""
"113",""
"999",""
