string2 0,string 1,string 2,string 3
"analyse_enemy_strong_001","char_DIGIVICE","This is a powerful Digimon! Be careful.",""
"analyse_enemy_strong_002","char_DIGIVICE","A strong signal has been detected. Please avoid combat.",""
"analyse_enemy_strong_003","char_DIGIVICE","A powerful signal has been confirmed. Combat is to be
avoided.",""
"analyse_enemy_even_001","char_DIGIVICE","You can strike with a DigiAttack.",""
"analyse_enemy_week_001","char_DIGIVICE","You can strike with a DigiAttack.",""
"analyse_enemy_week_002","char_DIGIVICE","A weak signal has been detected. Expect little resistance.",""
"analyse_enemy_week_003","char_DIGIVICE","The signal level is low. The threat is minimal.",""
"analyse_object_destructible","char_DIGIVICE","You can use DigiAttack.",""
"analyse_object_indestructible","char_DIGIVICE","You can use DigiAttack.",""
"analyse_object_search","char_DIGIVICE","There is a nearby object which you can DigiAttack.",""
"analyse_search_popup","char_DIGIVICE","There are materials nearby.",""
"analyse_search_important ","char_DIGIVICE","There is a treasure chest nearby.",""
"analyse_search_treasure","char_DIGIVICE","There is a treasure chest nearby.",""
"analyse_search_hazamabox","char_DIGIVICE","There is a treasure chest nearby.",""
"analyse_search_kirakira","char_DIGIVICE","There is a treasure chest nearby.",""
"analyse_search_theater","char_DIGIVICE","The In-Between Theater has been detected nearby.",""
"analyse_search_dungeon","char_DIGIVICE","An Outer Dungeon has been detected nearby.",""
"analyse_search_destination","char_DIGIVICE","The target is nearby.",""
"analyse_search_target","char_DIGIVICE","The target is nearby.",""
"analyse_fieldattack_failure","char_DIGIVICE","You can use DigiAttack.",""
"analyse_fieldattack_notarget","char_DIGIVICE","No signals detected.",""
"analyse_fieldattack_impossible","char_DIGIVICE","You cannot use DigiAttack.",""
"digimonride_ok","char_DIGIVICE","This Digimon is {r1} {fc13DigiRide}-capable.",""
"digimonride_ng","char_DIGIVICE","This Digimon is not DigiRide-capable.",""
"digimonride_notarget","char_DIGIVICE","No DigiRide-capable Digimon available.",""
"digimonconvert_notarget","char_DIGIVICE","No scanned Digimon available.",""
