string2 0,string 1,string 2,string 3
"f_d0301_0010_0010","char_SHELLMON","If I had some Coveweed, I could make an ointment... There's
usually some down at the shore.","f_d0301_0010_0010"
"f_d0301_0010_0020","char_SHELLMON","Sorry to ask this of you, but would you go get me the Coveweed
I need?","f_d0301_0010_0020"
"f_d0301_0010_0030","char_SHELLMON","Please, I beg of you...","f_d0301_0010_0030"
"f_d0301_0010_0040","char_SHELLMON","I really hate to ask, but do you think you could track down Kamemon?","f_d0301_0010_0040"
"f_d0301_0010_0050","char_SHELLMON","Kamemon should be in the village. That one's quite the
chatterbox, so it should be easy.","f_d0301_0010_0050"
"f_d0301_0020_0010","char_SABMARIMON","Heading underwater, are ya?",""
"f_d0301_0020_0020","char_SABMARIMON","Want a ride?",""
"f_d0301_0020_0030","char_PLAYER_M","Yes, please!",""
"f_d0301_0020_0031","char_PLAYER_M","{end}Not right now.",""
"f_d0301_0030_0010","char_AEGIOMON","There weren't any rocks here before... Could it be those
Titans again?",""
"f_d0301_0040_0010","char_MOJYAMON","Huh? Looking for Coveweed, you say? It takes a bit of expertise,
you know...",""
"f_d0301_0040_0020","char_MOJYAMON","Hmm... What to do, what to do? I think I ought to warn you...",""
"f_d0301_0040_0030","char_MOJYAMON","There were Syakomon there, right? They're always trying
to steal themselves some Coveweed.",""
"f_d0301_0040_0040","char_MOJYAMON","As an expert on the sea, I drive them off, but they always come 
back. And I never know which one has the stolen goods.",""
"f_d0301_0040_0050","char_MOJYAMON","For greenhorns like you, I imagine the task will be next to
impossible.",""
"f_d0301_0040_0060","char_MOJYAMON","Still, if you're dead set on getting some Coveweed,
I won't stand in your way.",""
"f_d0301_0040_0070","char_MOJYAMON","Those Syakomon are a prickly bunch. Best keep your
wits about you, you hear me?",""
"f_d0301_0040_0080","char_AEGIOMON","We got some!","f_d0301_0040_0080"
"f_d0301_0040_0090","char_MOJYAMON","Wait. What? Already?! Unbelievable!",""
"f_d0301_0040_0100","char_MOJYAMON","So you were experts all along? Why didn't you say so in the
first place?",""
"f_d0301_0050_0010","char_INORI","Shellmon, can you hear me? We brought the ingredients
you needed.","f_d0301_0050_0010"
"f_d0301_0050_0020","","...No response, huh?",""
"f_d0301_0050_0030","char_INORI","Let's just leave it here.","f_d0301_0050_0030"
"f_d0301_0050_0040","char_SHELLMON","Oh, wait!","f_d0301_0050_0040"
"f_d0301_0050_0050","char_SHELLMON","The Coral Fragments haven't arrived yet. I asked Kamemon to
get me some, but he still hasn't come back.","f_d0301_0050_0050"
"f_d0301_0050_0060","char_SHELLMON","Could you try to track down Kamemon in the village? That
one's quite the chatterbox, so it should be easy.","f_d0301_0050_0060"
"f_d0301_0050_0070","char_SHELLMON","If you really can't find him, could you please come back here?","f_d0301_0050_0070"
"f_d0301_0050_0080","char_SHELLMON","Please! And thank you...",""
"f_d0301_0060_0010","char_DAGOMON","Well, well! Talk about a sight for sore eyes...!",""
"f_d0301_0060_0020","char_DAGOMON","Where have you been, my brother...? I was looking high and
low for you!",""
"f_d0301_0060_0030","char_HANGYOMON","Bro! I got hurt out there, you see...",""
"f_d0301_0060_0040","char_DAGOMON","Well...! Is that so...? And what are you doing at this house?",""
"f_d0301_0060_0050","char_HANGYOMON","I was just using it for a place to rest. Nothing of interest
in there, believe me...",""
"f_d0301_0060_0060","char_DAGOMON","Hmm? Are you sure...? I saw someone moving around...",""
"f_d0301_0060_0070","char_HANGYOMON","What?! ...The guys next to us aren't from around here, I swear!",""
"f_d0301_0060_0080","char_DAGOMON","What game are you playing, my brother...? You know what
happens to traitors, do you not?",""
"f_d0301_0060_0090","char_HANGYOMON","Well, no turning back now... You folks, help me out!",""
"f_d0301_0060_0100","char_AEGIOMON","I thought you guys were friends?",""
"f_d0301_0060_0110","char_HANGYOMON","Up until a little while ago, we were... Come on. Let's go
see the boss.",""
"f_d0301_0070_0010","char_HANGYOMON","It's been a while, brother. Unlike most others, I understand 
your rather strange behavior.",""
"f_d0301_0070_0020","char_HANGYOMON","You're pretending to be a traitor in order to deceive the
enemy and then you'll destroy the village, right?",""
"f_d0301_0070_0030","char_HANGYOMON","Fantastic work! Come on, then! Hand them over!",""
"f_d0301_0070_0040","char_HANGYOMON","...Why aren't you responding?",""
"f_d0301_0070_0050","char_HANGYOMON","Unless... you really have turned traitor?!",""
"f_d0301_0070_0060","char_HANGYOMON","Well, in that case... Never mind, then! It's all fine!",""
"f_d0301_0070_0070","char_HANGYOMON","If I catch your traitorous self, I'll be named commander in 
no time flat! All right, you lot! Get them!",""
"f_d0301_0080_0010","","This is the place Shellmon told you about. Do you want to
blow the conch?",""
"f_d0301_0080_0020","","{next}[Blow the conch.]",""
"f_d0301_0080_0021","","{end}[Don't blow the conch.]",""
"f_d0301_0080_0030","char_WHAMON","Whale, hop in!",""
"f_d0301_0080_0040","char_WHAMON","Whale, are we going or what?",""
"f_d0301_0080_0050","char_PLAYER_M","Yes, please!",""
"f_d0301_0080_0051","char_PLAYER_M","{end}Not right now.",""
"f_d0301_0080_0060","char_WHAMON","Whale, let's get going!",""
"f_d0301_0090_0010","char_GEKOMON","Glurp... Careful of those guys by the water, glurp.
They'll attack anything that moves, glurp...",""
"f_d0301_0100_0010","char_OCTMON","Yar, Shellmon be 'oled up in its quarters for many a moon... 
The poor bilge rat won't let a soul inside.",""
"f_d0301_0110_0010","char_GEKOMON","When you gaze into the abyss, the abyss... stares back
at you, glurp.",""
"f_d0301_0110_0020","char_GEKOMON","Seeing those Titans around lately makes my skin crawl, glurp...
Still, where the heck are they coming from, glurp?",""
"f_d0301_0130_0010","char_MOJYAMON","Sheesh... Between it being so slow near the waterside
and the nasties lurking all around, I can hardly take it.",""
"f_d0301_0140_0010","char_BETAMON","Gee, I sure wish I could glide along like a fish in the water,
too...",""
