string2 0,string 1,string 2,string 3
"m170_010_010","char_MINERVAMON","I have to go report to Merukimon,
so I can't go with you this time.","m170_010_010"
"m170_010_020","char_MINERVAMON","I'm not worried, though. You guys will be
just fine without me. We're counting on you!","m170_010_020"
"m170_010_030","char_MINERVAMON","Just take Locomon and you'll reach the
Abyss Area in no time.","m170_010_030"
"m170_010_040","char_OPERATOR_M","We've been verifying the information you sent me,
and as I mentioned, we've come up with a theory.","m170_010_040_M m170_010_040_F"
"m170_010_050","char_OPERATOR_M","The unsolved cases ADAMAS has been keeping track of...
We feel the majority of them may have been caused by Digimon.","m170_010_050_M m170_010_050_F"
"m170_010_070","char_OPERATOR_M","Urban legends, folklore, myths... All presumably derived from 
the words of those who returned from the Digital World.","m170_010_070_M m170_010_070_F"
"m170_010_075","char_OPERATOR_M","If Dr. Yuki, were alive... I have to wonder how he would
view all this. There's one thing I can say for sure, though.","m170_010_075_M m170_010_075_F"
"m170_010_080","char_OPERATOR_M","Your investigation will reveal the truth of this world, and may 
help us find a solution to the crisis in eight years.","m170_010_080_M m170_010_080_F"
"m170_010_090","char_OPERATOR_M","Realistically, believing that to be true is our only option.
I'm counting on you, Agent {player}.","m170_010_090_M m170_010_090_F"
"m170_020_010","char_AEGIOMON","So... I really am this ""Great Guardian""...","m170_020_010"
"m170_020_020","char_INORI","I wouldn't worry about it too much.
You're still Aegiomon. That much hasn't changed.","m170_020_020"
"m170_020_030","char_AEGIOMON","Yeah... I mean, it threw me for a loop at first, but it's not
like I hate the idea.","m170_020_030"
"m170_020_040","char_AEGIOMON","I always had to hide myself in the human world.","m170_020_040"
"m170_020_050","char_AEGIOMON","I even scared my friends...","m170_020_050"
"m170_020_060","char_AEGIOMON","But here, well... I don't have to worry about that kind of thing...","m170_020_060"
"m170_020_070","char_AEGIOMON","The people in this world need me.","m170_020_070"
"m170_020_080","char_INORI","...I'm sorry life in the human world was so hard for you.","m170_020_080"
"m170_020_090","char_AEGIOMON","Oh! No, I wasn't trying to say that...!","m170_020_090"
"m170_020_100","char_AEGIOMON","A-Anyway, the gate to the human world won't open until this world
is at peace again, right?","m170_020_100"
"m170_020_110","char_PLAYER_M","Everyone will be happy once peace returns.{next}",""
"m170_020_111","char_PLAYER_M","Let's do as Junomon says so we can return to Shinjuku.{next}",""
"m170_020_112","char_PLAYER_M","Sounds like a lot of trouble just to open a gate.{next}",""
"m170_020_120","char_INORI","Yeah, that's right.","m170_020_120"
"m170_020_130","char_INORI","...Yeah.","m170_020_130"
"m170_020_140","char_INORI","Hee hee! It kind of does, doesn't it?","m170_020_140"
"m170_020_150","char_INORI","Still, the important stuff usually is.","m170_020_150"
"m170_020_160","char_INORI","Aegiomon... Once all this is over...","m170_020_160"
"m170_020_170","char_INORI","...and the gate opens up... what do you think you'll...?","m170_020_170"
"m170_020_175","char_INORI","...","m170_020_175"
"m170_020_180","char_INORI","...No, never mind. Sorry. Forget I said anything.","m170_020_180"
"m170_020_190","char_INORI","Come on. Time to get going. First things first. Let's head
for that ocean site!","m170_020_190"
"m170_030_010","char_AEGIOMON","So this is the Ocean Village...","m170_030_010"
"m170_030_020","char_INORI","They haven't suffered any damage from the Titans yet, from 
the looks of things.","m170_030_020"
"m170_030_030","char_INORI","We should go learn more about what's going on.","m170_030_030"
"m170_050_010","char_INORI","Hello? Anybody here?","m170_050_010"
"m170_050_020","char_INORI","Is it locked? Maybe no one's home.","m170_050_020"
"m170_050_030","char_PLAYER_M","[Knock on the door.]{next}",""
"m170_050_031","char_PLAYER_M","[Try shouting.]{next}",""
"m170_050_032","char_PLAYER_M","[Don't do anything.]{end}",""
"m170_050_040","char_DESCRIPTIVE_PART","...",""
"m170_050_050","char_DESCRIPTIVE_PART","...",""
"m170_050_060","char_SHELLMON","...Wh-Who is that?","m170_050_060"
"m170_050_070","char_SHELLMON","What do you want from me?","m170_050_070"
"m170_050_080","char_AEGIOMON","The other villagers are worried. They want to know what
you're doing holed up at home all the time.","m170_050_080"
"m170_050_090","char_SHELLMON","T-Tell them I'm hurt.","m170_050_090"
"m170_050_100","char_SHELLMON","Th-That's why I can't leave my house.","m170_050_100"
"m170_050_110","char_INORI","An injury so bad you can't leave the house...? Are you
okay? Did anyone take a look at it?","m170_050_110"
"m170_050_120","char_SHELLMON","W-Well, no...","m170_050_120"
"m170_050_130","char_SHELLMON","Look. I know what they say about me... but
t-that's all a misunderstanding.","m170_050_130"
"m170_050_140","char_SHELLMON","I really am hurt... and I don't have the medicine I need either.","m170_050_140"
"m170_050_150","char_SHELLMON","I'm not lying. H-Honest...","m170_050_150"
"m170_050_160","char_INORI","I believe her. I... don't think this Digimon is lying.","m170_050_160"
"m170_050_170","char_PLAYER_M","I feel the same way.{next}",""
"m170_050_171","char_PLAYER_M","What makes you think that?{next}",""
"m170_050_172","char_PLAYER_M","You know what they say, ""Only a fool believes.""{next}",""
"m170_050_180","char_INORI","I mean... no particular reason.","m170_050_180"
"m170_050_190","char_INORI","It's more of a gut feeling. Is that not enough?","m170_050_190"
"m170_050_200","char_INORI","Hmm. Yeah, you might be right. Still...","m170_050_200"
"m170_050_210","char_INORI","I just can't for the life of me think that she's lying. Can...
we really not trust her?","m170_050_210"
"m170_050_220","char_AEGIOMON","If it's medicine you need, we'll bring it to you. Where can we
get some?","m170_050_220"
"m170_050_230","char_SHELLMON","...Thank you.","m170_050_230"
"m170_050_240","char_SHELLMON","If I had some Coveweed, I could make an ointment... There's
usually some down at the shore.","m170_050_240"
"m170_050_260","char_SHELLMON","Please, I'm begging you...","m170_050_260"
"m170_060_010","char_INORI","Shellmon, can you hear me? We brought your medicine.","m170_060_010"
"m170_060_020","char_AEGIOMON","...We'll leave it at the door.","m170_060_020"
"m170_060_030","char_AEGIOMON","And we'll let everyone know this was all just one
big misunderstanding.","m170_060_030"
"m170_060_040","char_SHELLMON","H-Hold on!","m170_060_040"
"m170_060_050","char_SHELLMON","How come you're so nice to me? We only just met, after all.","m170_060_050"
"m170_060_060","char_INORI","What do we need a reason for?","m170_060_060"
"m170_060_070","char_INORI","I mean, you're right here, and you're hurt. Isn't it normal to care?","m170_060_070"
"m170_060_080","char_SHELLMON","You don't need... a reason...?","m170_060_080"
"m170_060_090","char_SHELLMON","Then you're the same as me.","m170_060_090"
"m170_060_100","char_SHELLMON","Come inside. To you folks... I think I can explain the whole story.","m170_060_100"
